global_edge_id,edge_id,system_id,source,target,global_source,global_target,bond_order_class,bond_order_proxy,hybridization_pair,pi_system_label,sigma_framework_label,reference_control_role
c60:C60_e_025,C60_e_025,c60,C60_12,C60_30,c60:C60_12,c60:C60_30,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_026,C60_e_026,c60,C60_13,C60_14,c60:C60_13,c60:C60_14,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_027,C60_e_027,c60,C60_13,C60_51,c60:C60_13,c60:C60_51,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_028,C60_e_028,c60,C60_14,C60_56,c60:C60_14,c60:C60_56,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_029,C60_e_029,c60,C60_15,C60_16,c60:C60_15,c60:C60_16,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_030,C60_e_030,c60,C60_15,C60_17,c60:C60_15,c60:C60_17,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_031,C60_e_031,c60,C60_16,C60_19,c60:C60_16,c60:C60_19,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_032,C60_e_032,c60,C60_16,C60_21,c60:C60_16,c60:C60_21,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_033,C60_e_033,c60,C60_17,C60_18,c60:C60_17,c60:C60_18,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_034,C60_e_034,c60,C60_17,C60_31,c60:C60_17,c60:C60_31,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_035,C60_e_035,c60,C60_18,C60_19,c60:C60_18,c60:C60_19,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_036,C60_e_036,c60,C60_18,C60_41,c60:C60_18,c60:C60_41,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_037,C60_e_037,c60,C60_19,C60_46,c60:C60_19,c60:C60_46,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_038,C60_e_038,c60,C60_20,C60_21,c60:C60_20,c60:C60_21,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_039,C60_e_039,c60,C60_20,C60_24,c60:C60_20,c60:C60_24,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_040,C60_e_040,c60,C60_21,C60_23,c60:C60_21,c60:C60_23,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_041,C60_e_041,c60,C60_22,C60_23,c60:C60_22,c60:C60_23,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_042,C60_e_042,c60,C60_22,C60_24,c60:C60_22,c60:C60_24,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_043,C60_e_043,c60,C60_22,C60_27,c60:C60_22,c60:C60_27,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_044,C60_e_044,c60,C60_23,C60_47,c60:C60_23,c60:C60_47,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_045,C60_e_045,c60,C60_24,C60_57,c60:C60_24,c60:C60_57,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_046,C60_e_046,c60,C60_25,C60_26,c60:C60_25,c60:C60_26,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_047,C60_e_047,c60,C60_25,C60_29,c60:C60_25,c60:C60_29,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_048,C60_e_048,c60,C60_26,C60_28,c60:C60_26,c60:C60_28,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_049,C60_e_049,c60,C60_27,C60_28,c60:C60_27,c60:C60_28,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_050,C60_e_050,c60,C60_27,C60_29,c60:C60_27,c60:C60_29,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_051,C60_e_051,c60,C60_28,C60_48,c60:C60_28,c60:C60_48,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_052,C60_e_052,c60,C60_29,C60_58,c60:C60_29,c60:C60_58,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_053,C60_e_053,c60,C60_30,C60_31,c60:C60_30,c60:C60_31,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_054,C60_e_054,c60,C60_30,C60_34,c60:C60_30,c60:C60_34,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_055,C60_e_055,c60,C60_31,C60_33,c60:C60_31,c60:C60_33,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_056,C60_e_056,c60,C60_32,C60_33,c60:C60_32,c60:C60_33,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_057,C60_e_057,c60,C60_32,C60_34,c60:C60_32,c60:C60_34,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_058,C60_e_058,c60,C60_32,C60_37,c60:C60_32,c60:C60_37,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_059,C60_e_059,c60,C60_33,C60_42,c60:C60_33,c60:C60_42,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_060,C60_e_060,c60,C60_34,C60_52,c60:C60_34,c60:C60_52,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_061,C60_e_061,c60,C60_35,C60_36,c60:C60_35,c60:C60_36,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_062,C60_e_062,c60,C60_35,C60_39,c60:C60_35,c60:C60_39,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_063,C60_e_063,c60,C60_36,C60_38,c60:C60_36,c60:C60_38,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_064,C60_e_064,c60,C60_37,C60_38,c60:C60_37,c60:C60_38,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_065,C60_e_065,c60,C60_37,C60_39,c60:C60_37,c60:C60_39,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_066,C60_e_066,c60,C60_38,C60_43,c60:C60_38,c60:C60_43,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_067,C60_e_067,c60,C60_39,C60_53,c60:C60_39,c60:C60_53,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_068,C60_e_068,c60,C60_40,C60_43,c60:C60_40,c60:C60_43,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_069,C60_e_069,c60,C60_40,C60_44,c60:C60_40,c60:C60_44,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_070,C60_e_070,c60,C60_41,C60_42,c60:C60_41,c60:C60_42,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_071,C60_e_071,c60,C60_41,C60_44,c60:C60_41,c60:C60_44,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_072,C60_e_072,c60,C60_42,C60_43,c60:C60_42,c60:C60_43,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_073,C60_e_073,c60,C60_44,C60_49,c60:C60_44,c60:C60_49,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_074,C60_e_074,c60,C60_45,C60_48,c60:C60_45,c60:C60_48,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_075,C60_e_075,c60,C60_45,C60_49,c60:C60_45,c60:C60_49,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_076,C60_e_076,c60,C60_46,C60_47,c60:C60_46,c60:C60_47,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_077,C60_e_077,c60,C60_46,C60_49,c60:C60_46,c60:C60_49,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_078,C60_e_078,c60,C60_47,C60_48,c60:C60_47,c60:C60_48,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_079,C60_e_079,c60,C60_50,C60_53,c60:C60_50,c60:C60_53,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_080,C60_e_080,c60,C60_50,C60_54,c60:C60_50,c60:C60_54,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_081,C60_e_081,c60,C60_51,C60_52,c60:C60_51,c60:C60_52,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_082,C60_e_082,c60,C60_51,C60_54,c60:C60_51,c60:C60_54,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_083,C60_e_083,c60,C60_52,C60_53,c60:C60_52,c60:C60_53,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_084,C60_e_084,c60,C60_54,C60_59,c60:C60_54,c60:C60_59,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_085,C60_e_085,c60,C60_55,C60_58,c60:C60_55,c60:C60_58,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_086,C60_e_086,c60,C60_55,C60_59,c60:C60_55,c60:C60_59,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_087,C60_e_087,c60,C60_56,C60_57,c60:C60_56,c60:C60_57,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_088,C60_e_088,c60,C60_56,C60_59,c60:C60_56,c60:C60_59,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
c60:C60_e_089,C60_e_089,c60,C60_57,C60_58,c60:C60_57,c60:C60_58,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,synthetic_reference_control_only_from_DATA02A
adamantane:Ada_e_00,Ada_e_00,adamantane,Ada_00,Ada_04,adamantane:Ada_00,adamantane:Ada_04,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_01,Ada_e_01,adamantane,Ada_01,Ada_04,adamantane:Ada_01,adamantane:Ada_04,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_02,Ada_e_02,adamantane,Ada_00,Ada_05,adamantane:Ada_00,adamantane:Ada_05,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_03,Ada_e_03,adamantane,Ada_02,Ada_05,adamantane:Ada_02,adamantane:Ada_05,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_04,Ada_e_04,adamantane,Ada_00,Ada_06,adamantane:Ada_00,adamantane:Ada_06,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_05,Ada_e_05,adamantane,Ada_03,Ada_06,adamantane:Ada_03,adamantane:Ada_06,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_06,Ada_e_06,adamantane,Ada_01,Ada_07,adamantane:Ada_01,adamantane:Ada_07,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_07,Ada_e_07,adamantane,Ada_02,Ada_07,adamantane:Ada_02,adamantane:Ada_07,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_08,Ada_e_08,adamantane,Ada_01,Ada_08,adamantane:Ada_01,adamantane:Ada_08,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_09,Ada_e_09,adamantane,Ada_03,Ada_08,adamantane:Ada_03,adamantane:Ada_08,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_10,Ada_e_10,adamantane,Ada_02,Ada_09,adamantane:Ada_02,adamantane:Ada_09,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
adamantane:Ada_e_11,Ada_e_11,adamantane,Ada_03,Ada_09,adamantane:Ada_03,adamantane:Ada_09,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,synthetic_reference_control_only
