token_id,token,line_number,excerpt,token_type,verification_status
DRCT-012,turn39academia0,9,"**Empfohlene Rangfolge für die nächste Arbeitsphase.** Nach wissenschaftlicher Nutzbarkeit, Datenzugänglichkeit, Reproduzierbarkeit und Overclaim-Risiko ergibt sich als robuste Reihenfolge: **SPARC/RAR**, **Materiewellen/Interferometrie**, **FRBs**, **Pulsar Timing Arrays**, **Spektroskopie/Fundamentalkonstanten** als Constraint-Feld, danach **starke Linsen**, **DESI/BAO/Hubble-Tension** und zuletzt **CMB-Anomalien**. Die niedrigere Platzierung von CMB und DESI bedeutet nicht „uninteressant“, so",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-013,turn14academia0,9,"**Empfohlene Rangfolge für die nächste Arbeitsphase.** Nach wissenschaftlicher Nutzbarkeit, Datenzugänglichkeit, Reproduzierbarkeit und Overclaim-Risiko ergibt sich als robuste Reihenfolge: **SPARC/RAR**, **Materiewellen/Interferometrie**, **FRBs**, **Pulsar Timing Arrays**, **Spektroskopie/Fundamentalkonstanten** als Constraint-Feld, danach **starke Linsen**, **DESI/BAO/Hubble-Tension** und zuletzt **CMB-Anomalien**. Die niedrigere Platzierung von CMB und DESI bedeutet nicht „uninteressant“, so",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-014,turn30academia4,9,"**Empfohlene Rangfolge für die nächste Arbeitsphase.** Nach wissenschaftlicher Nutzbarkeit, Datenzugänglichkeit, Reproduzierbarkeit und Overclaim-Risiko ergibt sich als robuste Reihenfolge: **SPARC/RAR**, **Materiewellen/Interferometrie**, **FRBs**, **Pulsar Timing Arrays**, **Spektroskopie/Fundamentalkonstanten** als Constraint-Feld, danach **starke Linsen**, **DESI/BAO/Hubble-Tension** und zuletzt **CMB-Anomalien**. Die niedrigere Platzierung von CMB und DESI bedeutet nicht „uninteressant“, so",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-015,cite,11,"**Best First Practical Run.** Der beste erste praktische Scout-Run ist eine **präregistrierte Residualanalyse auf SPARC-Basis**: Zuerst wird die Standard-RAR auf den öffentlichen SPARC-Daten reproduziert; anschließend wird getestet, ob ein **vorab definierter relationaler Zusatzobservable-Kandidat** — also eine neue, geometrisch oder verteilungsbezogen definierte Größe, die *nicht* bloß lokale Radiusinformation dupliziert — die Residuen verbessert, ohne die Modellfreiheit unkontrolliert zu erhöh",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-016,turn4view0,11,"**Best First Practical Run.** Der beste erste praktische Scout-Run ist eine **präregistrierte Residualanalyse auf SPARC-Basis**: Zuerst wird die Standard-RAR auf den öffentlichen SPARC-Daten reproduziert; anschließend wird getestet, ob ein **vorab definierter relationaler Zusatzobservable-Kandidat** — also eine neue, geometrisch oder verteilungsbezogen definierte Größe, die *nicht* bloß lokale Radiusinformation dupliziert — die Residuen verbessert, ohne die Modellfreiheit unkontrolliert zu erhöh",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-017,turn20academia1,11,"**Best First Practical Run.** Der beste erste praktische Scout-Run ist eine **präregistrierte Residualanalyse auf SPARC-Basis**: Zuerst wird die Standard-RAR auf den öffentlichen SPARC-Daten reproduziert; anschließend wird getestet, ob ein **vorab definierter relationaler Zusatzobservable-Kandidat** — also eine neue, geometrisch oder verteilungsbezogen definierte Größe, die *nicht* bloß lokale Radiusinformation dupliziert — die Residuen verbessert, ohne die Modellfreiheit unkontrolliert zu erhöh",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-018,turn20academia3,11,"**Best First Practical Run.** Der beste erste praktische Scout-Run ist eine **präregistrierte Residualanalyse auf SPARC-Basis**: Zuerst wird die Standard-RAR auf den öffentlichen SPARC-Daten reproduziert; anschließend wird getestet, ob ein **vorab definierter relationaler Zusatzobservable-Kandidat** — also eine neue, geometrisch oder verteilungsbezogen definierte Größe, die *nicht* bloß lokale Radiusinformation dupliziert — die Residuen verbessert, ohne die Modellfreiheit unkontrolliert zu erhöh",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-019,turn22academia0,11,"**Best First Practical Run.** Der beste erste praktische Scout-Run ist eine **präregistrierte Residualanalyse auf SPARC-Basis**: Zuerst wird die Standard-RAR auf den öffentlichen SPARC-Daten reproduziert; anschließend wird getestet, ob ein **vorab definierter relationaler Zusatzobservable-Kandidat** — also eine neue, geometrisch oder verteilungsbezogen definierte Größe, die *nicht* bloß lokale Radiusinformation dupliziert — die Residuen verbessert, ohne die Modellfreiheit unkontrolliert zu erhöh",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-020,cite,13,"**Claim Boundary.** Die vorhandene Evidenz rechtfertigt derzeit **nur** Aussagen der Form: „dieses Feld ist ein QSB-relevanter Suchraum“ oder „dieses Feld setzt harte Constraints an jeden QSB-Kopplungsmechanismus“. Sie rechtfertigt **nicht** Aussagen der Form: „QSB erklärt Dunkle Materie“, „QSB erklärt PTA-Signale“, „QSB erklärt FRBs“ oder „QSB ist in kosmologischen Residuen bereits sichtbar“. Gerade die robustesten Felder zeigen, dass die Datenlage meist **empirisch stark**, die **Interpretatio",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-021,turn19academia3,13,"**Claim Boundary.** Die vorhandene Evidenz rechtfertigt derzeit **nur** Aussagen der Form: „dieses Feld ist ein QSB-relevanter Suchraum“ oder „dieses Feld setzt harte Constraints an jeden QSB-Kopplungsmechanismus“. Sie rechtfertigt **nicht** Aussagen der Form: „QSB erklärt Dunkle Materie“, „QSB erklärt PTA-Signale“, „QSB erklärt FRBs“ oder „QSB ist in kosmologischen Residuen bereits sichtbar“. Gerade die robustesten Felder zeigen, dass die Datenlage meist **empirisch stark**, die **Interpretatio",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-022,turn39academia0,13,"**Claim Boundary.** Die vorhandene Evidenz rechtfertigt derzeit **nur** Aussagen der Form: „dieses Feld ist ein QSB-relevanter Suchraum“ oder „dieses Feld setzt harte Constraints an jeden QSB-Kopplungsmechanismus“. Sie rechtfertigt **nicht** Aussagen der Form: „QSB erklärt Dunkle Materie“, „QSB erklärt PTA-Signale“, „QSB erklärt FRBs“ oder „QSB ist in kosmologischen Residuen bereits sichtbar“. Gerade die robustesten Felder zeigen, dass die Datenlage meist **empirisch stark**, die **Interpretatio",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-023,turn23academia1,13,"**Claim Boundary.** Die vorhandene Evidenz rechtfertigt derzeit **nur** Aussagen der Form: „dieses Feld ist ein QSB-relevanter Suchraum“ oder „dieses Feld setzt harte Constraints an jeden QSB-Kopplungsmechanismus“. Sie rechtfertigt **nicht** Aussagen der Form: „QSB erklärt Dunkle Materie“, „QSB erklärt PTA-Signale“, „QSB erklärt FRBs“ oder „QSB ist in kosmologischen Residuen bereits sichtbar“. Gerade die robustesten Felder zeigen, dass die Datenlage meist **empirisch stark**, die **Interpretatio",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-024,turn14academia0,13,"**Claim Boundary.** Die vorhandene Evidenz rechtfertigt derzeit **nur** Aussagen der Form: „dieses Feld ist ein QSB-relevanter Suchraum“ oder „dieses Feld setzt harte Constraints an jeden QSB-Kopplungsmechanismus“. Sie rechtfertigt **nicht** Aussagen der Form: „QSB erklärt Dunkle Materie“, „QSB erklärt PTA-Signale“, „QSB erklärt FRBs“ oder „QSB ist in kosmologischen Residuen bereits sichtbar“. Gerade die robustesten Felder zeigen, dass die Datenlage meist **empirisch stark**, die **Interpretatio",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-025,turn31academia0,13,"**Claim Boundary.** Die vorhandene Evidenz rechtfertigt derzeit **nur** Aussagen der Form: „dieses Feld ist ein QSB-relevanter Suchraum“ oder „dieses Feld setzt harte Constraints an jeden QSB-Kopplungsmechanismus“. Sie rechtfertigt **nicht** Aussagen der Form: „QSB erklärt Dunkle Materie“, „QSB erklärt PTA-Signale“, „QSB erklärt FRBs“ oder „QSB ist in kosmologischen Residuen bereits sichtbar“. Gerade die robustesten Felder zeigen, dass die Datenlage meist **empirisch stark**, die **Interpretatio",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-026,filecite,17,"Die hochgeladene Projektspezifikation formuliert als Forschungsfrage, welche beobachteten Effekte, Messreihen und Datensätze als **QSB-relevante Suchräume** dienen können, wenn sie Phase, Interferenz, Kohärenz, Dekohärenz, relationale Kopplung, pfadabhängige Residuen oder offene öffentliche Daten enthalten. Außerdem verlangt sie eine strukturierte Feldanalyse, ein Bewertungsraster, eine Rangliste, einen No-Go-Bereich und einen Vorschlag für einen ersten Scout-Run. Genau diesen Rahmen übernimmt d",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-027,turn0file0,17,"Die hochgeladene Projektspezifikation formuliert als Forschungsfrage, welche beobachteten Effekte, Messreihen und Datensätze als **QSB-relevante Suchräume** dienen können, wenn sie Phase, Interferenz, Kohärenz, Dekohärenz, relationale Kopplung, pfadabhängige Residuen oder offene öffentliche Daten enthalten. Außerdem verlangt sie eine strukturierte Feldanalyse, ein Bewertungsraster, eine Rangliste, einen No-Go-Bereich und einen Vorschlag für einen ersten Scout-Run. Genau diesen Rahmen übernimmt d",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-028,filecite,19,"Bewertet werden die im Prompt explizit genannten Felder: **Materiewellen-/Atom-/Molekül-/Neutroninterferometrie**, **SPARC/RAR**, **FRBs**, **Pulsar Timing Arrays**, **starke Gravitationslinsen mit Flux-Ratio-Anomalien**, **Spektroskopie/Fundamentalkonstanten**, **CMB-Anomalien** und **DESI/BAO/Hubble-Tension**. Wo deutsche Primärquellen verfügbar waren, wurden sie bevorzugt berücksichtigt; faktisch dominieren in fast allen acht Feldern jedoch englischsprachige Kollaborationspapiere, Datenfreiga",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-029,turn0file0,19,"Bewertet werden die im Prompt explizit genannten Felder: **Materiewellen-/Atom-/Molekül-/Neutroninterferometrie**, **SPARC/RAR**, **FRBs**, **Pulsar Timing Arrays**, **starke Gravitationslinsen mit Flux-Ratio-Anomalien**, **Spektroskopie/Fundamentalkonstanten**, **CMB-Anomalien** und **DESI/BAO/Hubble-Tension**. Wo deutsche Primärquellen verfügbar waren, wurden sie bevorzugt berücksichtigt; faktisch dominieren in fast allen acht Feldern jedoch englischsprachige Kollaborationspapiere, Datenfreiga",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-030,cite,19,"Bewertet werden die im Prompt explizit genannten Felder: **Materiewellen-/Atom-/Molekül-/Neutroninterferometrie**, **SPARC/RAR**, **FRBs**, **Pulsar Timing Arrays**, **starke Gravitationslinsen mit Flux-Ratio-Anomalien**, **Spektroskopie/Fundamentalkonstanten**, **CMB-Anomalien** und **DESI/BAO/Hubble-Tension**. Wo deutsche Primärquellen verfügbar waren, wurden sie bevorzugt berücksichtigt; faktisch dominieren in fast allen acht Feldern jedoch englischsprachige Kollaborationspapiere, Datenfreiga",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-031,turn4view0,19,"Bewertet werden die im Prompt explizit genannten Felder: **Materiewellen-/Atom-/Molekül-/Neutroninterferometrie**, **SPARC/RAR**, **FRBs**, **Pulsar Timing Arrays**, **starke Gravitationslinsen mit Flux-Ratio-Anomalien**, **Spektroskopie/Fundamentalkonstanten**, **CMB-Anomalien** und **DESI/BAO/Hubble-Tension**. Wo deutsche Primärquellen verfügbar waren, wurden sie bevorzugt berücksichtigt; faktisch dominieren in fast allen acht Feldern jedoch englischsprachige Kollaborationspapiere, Datenfreiga",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-032,turn24view1,19,"Bewertet werden die im Prompt explizit genannten Felder: **Materiewellen-/Atom-/Molekül-/Neutroninterferometrie**, **SPARC/RAR**, **FRBs**, **Pulsar Timing Arrays**, **starke Gravitationslinsen mit Flux-Ratio-Anomalien**, **Spektroskopie/Fundamentalkonstanten**, **CMB-Anomalien** und **DESI/BAO/Hubble-Tension**. Wo deutsche Primärquellen verfügbar waren, wurden sie bevorzugt berücksichtigt; faktisch dominieren in fast allen acht Feldern jedoch englischsprachige Kollaborationspapiere, Datenfreiga",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-033,turn40view1,19,"Bewertet werden die im Prompt explizit genannten Felder: **Materiewellen-/Atom-/Molekül-/Neutroninterferometrie**, **SPARC/RAR**, **FRBs**, **Pulsar Timing Arrays**, **starke Gravitationslinsen mit Flux-Ratio-Anomalien**, **Spektroskopie/Fundamentalkonstanten**, **CMB-Anomalien** und **DESI/BAO/Hubble-Tension**. Wo deutsche Primärquellen verfügbar waren, wurden sie bevorzugt berücksichtigt; faktisch dominieren in fast allen acht Feldern jedoch englischsprachige Kollaborationspapiere, Datenfreiga",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-034,turn36view0,19,"Bewertet werden die im Prompt explizit genannten Felder: **Materiewellen-/Atom-/Molekül-/Neutroninterferometrie**, **SPARC/RAR**, **FRBs**, **Pulsar Timing Arrays**, **starke Gravitationslinsen mit Flux-Ratio-Anomalien**, **Spektroskopie/Fundamentalkonstanten**, **CMB-Anomalien** und **DESI/BAO/Hubble-Tension**. Wo deutsche Primärquellen verfügbar waren, wurden sie bevorzugt berücksichtigt; faktisch dominieren in fast allen acht Feldern jedoch englischsprachige Kollaborationspapiere, Datenfreiga",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-035,turn4view3,19,"Bewertet werden die im Prompt explizit genannten Felder: **Materiewellen-/Atom-/Molekül-/Neutroninterferometrie**, **SPARC/RAR**, **FRBs**, **Pulsar Timing Arrays**, **starke Gravitationslinsen mit Flux-Ratio-Anomalien**, **Spektroskopie/Fundamentalkonstanten**, **CMB-Anomalien** und **DESI/BAO/Hubble-Tension**. Wo deutsche Primärquellen verfügbar waren, wurden sie bevorzugt berücksichtigt; faktisch dominieren in fast allen acht Feldern jedoch englischsprachige Kollaborationspapiere, Datenfreiga",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-036,cite,34,"Die Chronologie zeigt, dass die Felder unterschiedlich weit „instrumentalisiert“ sind: Interferometrie ist methodisch alt und mechanistisch nah an QSB; SPARC und FRBs sind offen-datenstark; PTAs sind hochpräzise, aber modell- und pipeline-intensiv; Planck und DESI sind exzellent, aber für einen ersten QSB-Angriff globaler und stärker degeneriert. citeturn33search4turn8academia0turn20academia1turn6academia0turn39academia0turn30academia4",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-037,turn33search4,34,"Die Chronologie zeigt, dass die Felder unterschiedlich weit „instrumentalisiert“ sind: Interferometrie ist methodisch alt und mechanistisch nah an QSB; SPARC und FRBs sind offen-datenstark; PTAs sind hochpräzise, aber modell- und pipeline-intensiv; Planck und DESI sind exzellent, aber für einen ersten QSB-Angriff globaler und stärker degeneriert. citeturn33search4turn8academia0turn20academia1turn6academia0turn39academia0turn30academia4",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-038,turn8academia0,34,"Die Chronologie zeigt, dass die Felder unterschiedlich weit „instrumentalisiert“ sind: Interferometrie ist methodisch alt und mechanistisch nah an QSB; SPARC und FRBs sind offen-datenstark; PTAs sind hochpräzise, aber modell- und pipeline-intensiv; Planck und DESI sind exzellent, aber für einen ersten QSB-Angriff globaler und stärker degeneriert. citeturn33search4turn8academia0turn20academia1turn6academia0turn39academia0turn30academia4",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-039,turn20academia1,34,"Die Chronologie zeigt, dass die Felder unterschiedlich weit „instrumentalisiert“ sind: Interferometrie ist methodisch alt und mechanistisch nah an QSB; SPARC und FRBs sind offen-datenstark; PTAs sind hochpräzise, aber modell- und pipeline-intensiv; Planck und DESI sind exzellent, aber für einen ersten QSB-Angriff globaler und stärker degeneriert. citeturn33search4turn8academia0turn20academia1turn6academia0turn39academia0turn30academia4",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-040,turn6academia0,34,"Die Chronologie zeigt, dass die Felder unterschiedlich weit „instrumentalisiert“ sind: Interferometrie ist methodisch alt und mechanistisch nah an QSB; SPARC und FRBs sind offen-datenstark; PTAs sind hochpräzise, aber modell- und pipeline-intensiv; Planck und DESI sind exzellent, aber für einen ersten QSB-Angriff globaler und stärker degeneriert. citeturn33search4turn8academia0turn20academia1turn6academia0turn39academia0turn30academia4",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-041,turn39academia0,34,"Die Chronologie zeigt, dass die Felder unterschiedlich weit „instrumentalisiert“ sind: Interferometrie ist methodisch alt und mechanistisch nah an QSB; SPARC und FRBs sind offen-datenstark; PTAs sind hochpräzise, aber modell- und pipeline-intensiv; Planck und DESI sind exzellent, aber für einen ersten QSB-Angriff globaler und stärker degeneriert. citeturn33search4turn8academia0turn20academia1turn6academia0turn39academia0turn30academia4",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-042,turn30academia4,34,"Die Chronologie zeigt, dass die Felder unterschiedlich weit „instrumentalisiert“ sind: Interferometrie ist methodisch alt und mechanistisch nah an QSB; SPARC und FRBs sind offen-datenstark; PTAs sind hochpräzise, aber modell- und pipeline-intensiv; Planck und DESI sind exzellent, aber für einen ersten QSB-Angriff globaler und stärker degeneriert. citeturn33search4turn8academia0turn20academia1turn6academia0turn39academia0turn30academia4",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-043,cite,38,"Die Recherche wurde als **quellenpriorisierte Screen-and-rank-Analyse** durchgeführt. Priorisiert wurden erstens **offizielle Kollaborations- und Instrumentenseiten** mit Datenzugang, zweitens **Kollaborations- oder Primärpapiere** zu Datenfreigaben und Resultaten, drittens **überblicksartige Review-Papers**, wenn sie für Interferometrie, Systematik oder Interpretation unverzichtbar sind. Tertiärquellen wurden nicht als Ergebnisbasis, sondern höchstens als Wegweiser zu Primärquellen genutzt. Aus",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-044,turn4view0,38,"Die Recherche wurde als **quellenpriorisierte Screen-and-rank-Analyse** durchgeführt. Priorisiert wurden erstens **offizielle Kollaborations- und Instrumentenseiten** mit Datenzugang, zweitens **Kollaborations- oder Primärpapiere** zu Datenfreigaben und Resultaten, drittens **überblicksartige Review-Papers**, wenn sie für Interferometrie, Systematik oder Interpretation unverzichtbar sind. Tertiärquellen wurden nicht als Ergebnisbasis, sondern höchstens als Wegweiser zu Primärquellen genutzt. Aus",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-045,turn24view1,38,"Die Recherche wurde als **quellenpriorisierte Screen-and-rank-Analyse** durchgeführt. Priorisiert wurden erstens **offizielle Kollaborations- und Instrumentenseiten** mit Datenzugang, zweitens **Kollaborations- oder Primärpapiere** zu Datenfreigaben und Resultaten, drittens **überblicksartige Review-Papers**, wenn sie für Interferometrie, Systematik oder Interpretation unverzichtbar sind. Tertiärquellen wurden nicht als Ergebnisbasis, sondern höchstens als Wegweiser zu Primärquellen genutzt. Aus",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-046,turn40view1,38,"Die Recherche wurde als **quellenpriorisierte Screen-and-rank-Analyse** durchgeführt. Priorisiert wurden erstens **offizielle Kollaborations- und Instrumentenseiten** mit Datenzugang, zweitens **Kollaborations- oder Primärpapiere** zu Datenfreigaben und Resultaten, drittens **überblicksartige Review-Papers**, wenn sie für Interferometrie, Systematik oder Interpretation unverzichtbar sind. Tertiärquellen wurden nicht als Ergebnisbasis, sondern höchstens als Wegweiser zu Primärquellen genutzt. Aus",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-047,turn36view0,38,"Die Recherche wurde als **quellenpriorisierte Screen-and-rank-Analyse** durchgeführt. Priorisiert wurden erstens **offizielle Kollaborations- und Instrumentenseiten** mit Datenzugang, zweitens **Kollaborations- oder Primärpapiere** zu Datenfreigaben und Resultaten, drittens **überblicksartige Review-Papers**, wenn sie für Interferometrie, Systematik oder Interpretation unverzichtbar sind. Tertiärquellen wurden nicht als Ergebnisbasis, sondern höchstens als Wegweiser zu Primärquellen genutzt. Aus",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-048,turn14academia0,38,"Die Recherche wurde als **quellenpriorisierte Screen-and-rank-Analyse** durchgeführt. Priorisiert wurden erstens **offizielle Kollaborations- und Instrumentenseiten** mit Datenzugang, zweitens **Kollaborations- oder Primärpapiere** zu Datenfreigaben und Resultaten, drittens **überblicksartige Review-Papers**, wenn sie für Interferometrie, Systematik oder Interpretation unverzichtbar sind. Tertiärquellen wurden nicht als Ergebnisbasis, sondern höchstens als Wegweiser zu Primärquellen genutzt. Aus",deep_research_citation_token,not_repo_source_not_web_verified
DRCT-049,turn30academia4,38,"Die Recherche wurde als **quellenpriorisierte Screen-and-rank-Analyse** durchgeführt. Priorisiert wurden erstens **offizielle Kollaborations- und Instrumentenseiten** mit Datenzugang, zweitens **Kollaborations- oder Primärpapiere** zu Datenfreigaben und Resultaten, drittens **überblicksartige Review-Papers**, wenn sie für Interferometrie, Systematik oder Interpretation unverzichtbar sind. Tertiärquellen wurden nicht als Ergebnisbasis, sondern höchstens als Wegweiser zu Primärquellen genutzt. Aus",deep_research_citation_token,not_repo_source_not_web_verified
