edge_id,system_id,source,target,bond_class,bond_order_proxy,edge_family,face_pair_type,reference_control_role
C60_e_034,c60,C60_17,C60_31,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_035,c60,C60_18,C60_19,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_036,c60,C60_18,C60_41,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_037,c60,C60_19,C60_46,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_038,c60,C60_20,C60_21,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_039,c60,C60_20,C60_24,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_040,c60,C60_21,C60_23,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_041,c60,C60_22,C60_23,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_042,c60,C60_22,C60_24,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_043,c60,C60_22,C60_27,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_044,c60,C60_23,C60_47,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_045,c60,C60_24,C60_57,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_046,c60,C60_25,C60_26,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_047,c60,C60_25,C60_29,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_048,c60,C60_26,C60_28,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_049,c60,C60_27,C60_28,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_050,c60,C60_27,C60_29,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_051,c60,C60_28,C60_48,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_052,c60,C60_29,C60_58,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_053,c60,C60_30,C60_31,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_054,c60,C60_30,C60_34,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_055,c60,C60_31,C60_33,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_056,c60,C60_32,C60_33,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_057,c60,C60_32,C60_34,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_058,c60,C60_32,C60_37,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_059,c60,C60_33,C60_42,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_060,c60,C60_34,C60_52,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_061,c60,C60_35,C60_36,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_062,c60,C60_35,C60_39,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_063,c60,C60_36,C60_38,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_064,c60,C60_37,C60_38,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_065,c60,C60_37,C60_39,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_066,c60,C60_38,C60_43,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_067,c60,C60_39,C60_53,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_068,c60,C60_40,C60_43,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_069,c60,C60_40,C60_44,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_070,c60,C60_41,C60_42,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_071,c60,C60_41,C60_44,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_072,c60,C60_42,C60_43,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_073,c60,C60_44,C60_49,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_074,c60,C60_45,C60_48,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_075,c60,C60_45,C60_49,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_076,c60,C60_46,C60_47,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_077,c60,C60_46,C60_49,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_078,c60,C60_47,C60_48,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_079,c60,C60_50,C60_53,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_080,c60,C60_50,C60_54,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_081,c60,C60_51,C60_52,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_082,c60,C60_51,C60_54,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_083,c60,C60_52,C60_53,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_084,c60,C60_54,C60_59,6_6,1.4,c60_bond_class_weighted_proxy,hexagon_hexagon,synthetic_reference_control_only
C60_e_085,c60,C60_55,C60_58,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_086,c60,C60_55,C60_59,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_087,c60,C60_56,C60_57,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_088,c60,C60_56,C60_59,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
C60_e_089,c60,C60_57,C60_58,5_6,1.45,c60_bond_class_weighted_proxy,pentagon_hexagon,synthetic_reference_control_only
