control_id,control_family_id,source_system_id,global_node_id,source_global_node_id,node_id,atom_label,hybridization_label,hydrogen_count_metadata,saturation_label,pi_system_label,sigma_framework_label,topology_class,x_ref,y_ref,z_ref,control_transform_note,claim_role
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_05,benzene:Bz_05,Bz_05,C,sp2,1,aromatic_unsaturated,planar_aromatic_pi_ring,planar_ring_sigma_framework,planar_aromatic_ring,0.5,-0.866025403784,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_00,c60:C60_00,C60_00,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.201774106168,0.979432085486,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_01,c60:C60_01,C60_01,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.403548212335,0.854728829825,0.326477361829,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_02,c60:C60_02,C60_02,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.403548212335,0.854728829825,-0.326477361829,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_03,c60:C60_03,C60_03,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.730025574164,0.652954723658,-0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_04,c60:C60_04,C60_04,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.730025574164,0.652954723658,0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_05,c60:C60_05,C60_05,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.201774106168,0.979432085486,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_06,c60:C60_06,C60_06,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.403548212335,0.854728829825,0.326477361829,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_07,c60:C60_07,C60_07,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.403548212335,0.854728829825,-0.326477361829,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_08,c60:C60_08,C60_08,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.730025574164,0.652954723658,-0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_09,c60:C60_09,C60_09,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.730025574164,0.652954723658,0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_10,c60:C60_10,C60_10,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.201774106168,-0.979432085486,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_11,c60:C60_11,C60_11,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.403548212335,-0.854728829825,0.326477361829,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_12,c60:C60_12,C60_12,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.403548212335,-0.854728829825,-0.326477361829,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_13,c60:C60_13,C60_13,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.730025574164,-0.652954723658,-0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_14,c60:C60_14,C60_14,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.730025574164,-0.652954723658,0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_15,c60:C60_15,C60_15,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.201774106168,-0.979432085486,0.0,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_16,c60:C60_16,C60_16,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.403548212335,-0.854728829825,0.326477361829,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_17,c60:C60_17,C60_17,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.403548212335,-0.854728829825,-0.326477361829,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_18,c60:C60_18,C60_18,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.730025574164,-0.652954723658,-0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_19,c60:C60_19,C60_19,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.730025574164,-0.652954723658,0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_20,c60:C60_20,C60_20,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.201774106168,-0.730025574164,0.652954723658,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_21,c60:C60_21,C60_21,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.201774106168,-0.730025574164,0.652954723658,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_22,c60:C60_22,C60_22,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.0,-0.201774106168,0.979432085486,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_23,c60:C60_23,C60_23,C,sp,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.326477361829,-0.403548212335,0.854728829825,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_24,c60:C60_24,C60_24,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.326477361829,-0.403548212335,0.854728829825,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_25,c60:C60_25,C60_25,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.201774106168,0.730025574164,0.652954723658,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_26,c60:C60_26,C60_26,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.201774106168,0.730025574164,0.652954723658,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_27,c60:C60_27,C60_27,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.0,0.201774106168,0.979432085486,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_28,c60:C60_28,C60_28,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.326477361829,0.403548212335,0.854728829825,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_29,c60:C60_29,C60_29,C,sp,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.326477361829,0.403548212335,0.854728829825,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_30,c60:C60_30,C60_30,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.201774106168,-0.730025574164,-0.652954723658,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_31,c60:C60_31,C60_31,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.201774106168,-0.730025574164,-0.652954723658,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_32,c60:C60_32,C60_32,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.0,-0.201774106168,-0.979432085486,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_33,c60:C60_33,C60_33,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.326477361829,-0.403548212335,-0.854728829825,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_34,c60:C60_34,C60_34,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.326477361829,-0.403548212335,-0.854728829825,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_35,c60:C60_35,C60_35,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.201774106168,0.730025574164,-0.652954723658,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_36,c60:C60_36,C60_36,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.201774106168,0.730025574164,-0.652954723658,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_37,c60:C60_37,C60_37,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.0,0.201774106168,-0.979432085486,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_38,c60:C60_38,C60_38,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.326477361829,0.403548212335,-0.854728829825,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_39,c60:C60_39,C60_39,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.326477361829,0.403548212335,-0.854728829825,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_40,c60:C60_40,C60_40,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.854728829825,0.326477361829,-0.403548212335,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_41,c60:C60_41,C60_41,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.854728829825,-0.326477361829,-0.403548212335,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_42,c60:C60_42,C60_42,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.652954723658,-0.201774106168,-0.730025574164,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_43,c60:C60_43,C60_43,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.652954723658,0.201774106168,-0.730025574164,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_44,c60:C60_44,C60_44,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.979432085486,0.0,-0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_45,c60:C60_45,C60_45,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.854728829825,0.326477361829,0.403548212335,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_46,c60:C60_46,C60_46,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.854728829825,-0.326477361829,0.403548212335,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_47,c60:C60_47,C60_47,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.652954723658,-0.201774106168,0.730025574164,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_48,c60:C60_48,C60_48,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.652954723658,0.201774106168,0.730025574164,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_49,c60:C60_49,C60_49,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,0.979432085486,0.0,0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_50,c60:C60_50,C60_50,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.854728829825,0.326477361829,-0.403548212335,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_51,c60:C60_51,C60_51,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.854728829825,-0.326477361829,-0.403548212335,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_52,c60:C60_52,C60_52,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.652954723658,-0.201774106168,-0.730025574164,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_53,c60:C60_53,C60_53,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.652954723658,0.201774106168,-0.730025574164,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_54,c60:C60_54,C60_54,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.979432085486,0.0,-0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_55,c60:C60_55,C60_55,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.854728829825,0.326477361829,0.403548212335,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_56,c60:C60_56,C60_56,C,sp3,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.854728829825,-0.326477361829,0.403548212335,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_57,c60:C60_57,C60_57,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.652954723658,-0.201774106168,0.730025574164,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_58,c60:C60_58,C60_58,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.652954723658,0.201774106168,0.730025574164,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_59,c60:C60_59,C60_59,C,sp2,0,unsaturated_fullerene_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,curved_fullerene_cage,-0.979432085486,0.0,0.201774106168,hybridization labels drawn from deterministic global shuffle,synthetic_control_only
