control_id,control_family_id,source_system_id,global_edge_id,source_global_edge_id,source,target,source_original,target_original,bond_order_class,bond_order_proxy,hybridization_pair,pi_system_label,sigma_framework_label,control_transform_note,reference_control_role
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_10,adamantane:Ada_e_10,hybridization_label_shuffle_control__adamantane:Ada_02,hybridization_label_shuffle_control__adamantane:Ada_09,adamantane:Ada_02,adamantane:Ada_09,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,adamantane,hybridization_label_shuffle_control__adamantane:Ada_e_11,adamantane:Ada_e_11,hybridization_label_shuffle_control__adamantane:Ada_03,hybridization_label_shuffle_control__adamantane:Ada_09,adamantane:Ada_03,adamantane:Ada_09,single,1.0,sp3_sp3,none,diamondoid_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_e_00,benzene:Bz_e_00,hybridization_label_shuffle_control__benzene:Bz_00,hybridization_label_shuffle_control__benzene:Bz_01,benzene:Bz_00,benzene:Bz_01,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_e_01,benzene:Bz_e_01,hybridization_label_shuffle_control__benzene:Bz_01,hybridization_label_shuffle_control__benzene:Bz_02,benzene:Bz_01,benzene:Bz_02,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_e_02,benzene:Bz_e_02,hybridization_label_shuffle_control__benzene:Bz_02,hybridization_label_shuffle_control__benzene:Bz_03,benzene:Bz_02,benzene:Bz_03,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_e_03,benzene:Bz_e_03,hybridization_label_shuffle_control__benzene:Bz_03,hybridization_label_shuffle_control__benzene:Bz_04,benzene:Bz_03,benzene:Bz_04,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_e_04,benzene:Bz_e_04,hybridization_label_shuffle_control__benzene:Bz_04,hybridization_label_shuffle_control__benzene:Bz_05,benzene:Bz_04,benzene:Bz_05,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,benzene,hybridization_label_shuffle_control__benzene:Bz_e_05,benzene:Bz_e_05,hybridization_label_shuffle_control__benzene:Bz_05,hybridization_label_shuffle_control__benzene:Bz_00,benzene:Bz_05,benzene:Bz_00,aromatic,1.5,sp2_sp2,planar_aromatic_pi_ring,planar_ring_sigma_framework,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_000,c60:C60_e_000,hybridization_label_shuffle_control__c60:C60_00,hybridization_label_shuffle_control__c60:C60_01,c60:C60_00,c60:C60_01,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_001,c60:C60_e_001,hybridization_label_shuffle_control__c60:C60_00,hybridization_label_shuffle_control__c60:C60_02,c60:C60_00,c60:C60_02,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_002,c60:C60_e_002,hybridization_label_shuffle_control__c60:C60_00,hybridization_label_shuffle_control__c60:C60_05,c60:C60_00,c60:C60_05,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_003,c60:C60_e_003,hybridization_label_shuffle_control__c60:C60_01,hybridization_label_shuffle_control__c60:C60_04,c60:C60_01,c60:C60_04,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_004,c60:C60_e_004,hybridization_label_shuffle_control__c60:C60_01,hybridization_label_shuffle_control__c60:C60_25,c60:C60_01,c60:C60_25,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_005,c60:C60_e_005,hybridization_label_shuffle_control__c60:C60_02,hybridization_label_shuffle_control__c60:C60_03,c60:C60_02,c60:C60_03,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_006,c60:C60_e_006,hybridization_label_shuffle_control__c60:C60_02,hybridization_label_shuffle_control__c60:C60_35,c60:C60_02,c60:C60_35,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_007,c60:C60_e_007,hybridization_label_shuffle_control__c60:C60_03,hybridization_label_shuffle_control__c60:C60_04,c60:C60_03,c60:C60_04,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_008,c60:C60_e_008,hybridization_label_shuffle_control__c60:C60_03,hybridization_label_shuffle_control__c60:C60_50,c60:C60_03,c60:C60_50,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_009,c60:C60_e_009,hybridization_label_shuffle_control__c60:C60_04,hybridization_label_shuffle_control__c60:C60_55,c60:C60_04,c60:C60_55,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_010,c60:C60_e_010,hybridization_label_shuffle_control__c60:C60_05,hybridization_label_shuffle_control__c60:C60_06,c60:C60_05,c60:C60_06,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_011,c60:C60_e_011,hybridization_label_shuffle_control__c60:C60_05,hybridization_label_shuffle_control__c60:C60_07,c60:C60_05,c60:C60_07,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_012,c60:C60_e_012,hybridization_label_shuffle_control__c60:C60_06,hybridization_label_shuffle_control__c60:C60_09,c60:C60_06,c60:C60_09,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_013,c60:C60_e_013,hybridization_label_shuffle_control__c60:C60_06,hybridization_label_shuffle_control__c60:C60_26,c60:C60_06,c60:C60_26,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_014,c60:C60_e_014,hybridization_label_shuffle_control__c60:C60_07,hybridization_label_shuffle_control__c60:C60_08,c60:C60_07,c60:C60_08,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_015,c60:C60_e_015,hybridization_label_shuffle_control__c60:C60_07,hybridization_label_shuffle_control__c60:C60_36,c60:C60_07,c60:C60_36,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_016,c60:C60_e_016,hybridization_label_shuffle_control__c60:C60_08,hybridization_label_shuffle_control__c60:C60_09,c60:C60_08,c60:C60_09,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_017,c60:C60_e_017,hybridization_label_shuffle_control__c60:C60_08,hybridization_label_shuffle_control__c60:C60_40,c60:C60_08,c60:C60_40,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_018,c60:C60_e_018,hybridization_label_shuffle_control__c60:C60_09,hybridization_label_shuffle_control__c60:C60_45,c60:C60_09,c60:C60_45,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_019,c60:C60_e_019,hybridization_label_shuffle_control__c60:C60_10,hybridization_label_shuffle_control__c60:C60_11,c60:C60_10,c60:C60_11,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_020,c60:C60_e_020,hybridization_label_shuffle_control__c60:C60_10,hybridization_label_shuffle_control__c60:C60_12,c60:C60_10,c60:C60_12,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_021,c60:C60_e_021,hybridization_label_shuffle_control__c60:C60_10,hybridization_label_shuffle_control__c60:C60_15,c60:C60_10,c60:C60_15,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_022,c60:C60_e_022,hybridization_label_shuffle_control__c60:C60_11,hybridization_label_shuffle_control__c60:C60_14,c60:C60_11,c60:C60_14,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_023,c60:C60_e_023,hybridization_label_shuffle_control__c60:C60_11,hybridization_label_shuffle_control__c60:C60_20,c60:C60_11,c60:C60_20,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_024,c60:C60_e_024,hybridization_label_shuffle_control__c60:C60_12,hybridization_label_shuffle_control__c60:C60_13,c60:C60_12,c60:C60_13,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_025,c60:C60_e_025,hybridization_label_shuffle_control__c60:C60_12,hybridization_label_shuffle_control__c60:C60_30,c60:C60_12,c60:C60_30,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_026,c60:C60_e_026,hybridization_label_shuffle_control__c60:C60_13,hybridization_label_shuffle_control__c60:C60_14,c60:C60_13,c60:C60_14,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_027,c60:C60_e_027,hybridization_label_shuffle_control__c60:C60_13,hybridization_label_shuffle_control__c60:C60_51,c60:C60_13,c60:C60_51,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_028,c60:C60_e_028,hybridization_label_shuffle_control__c60:C60_14,hybridization_label_shuffle_control__c60:C60_56,c60:C60_14,c60:C60_56,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_029,c60:C60_e_029,hybridization_label_shuffle_control__c60:C60_15,hybridization_label_shuffle_control__c60:C60_16,c60:C60_15,c60:C60_16,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_030,c60:C60_e_030,hybridization_label_shuffle_control__c60:C60_15,hybridization_label_shuffle_control__c60:C60_17,c60:C60_15,c60:C60_17,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_031,c60:C60_e_031,hybridization_label_shuffle_control__c60:C60_16,hybridization_label_shuffle_control__c60:C60_19,c60:C60_16,c60:C60_19,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_032,c60:C60_e_032,hybridization_label_shuffle_control__c60:C60_16,hybridization_label_shuffle_control__c60:C60_21,c60:C60_16,c60:C60_21,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_033,c60:C60_e_033,hybridization_label_shuffle_control__c60:C60_17,hybridization_label_shuffle_control__c60:C60_18,c60:C60_17,c60:C60_18,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_034,c60:C60_e_034,hybridization_label_shuffle_control__c60:C60_17,hybridization_label_shuffle_control__c60:C60_31,c60:C60_17,c60:C60_31,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_035,c60:C60_e_035,hybridization_label_shuffle_control__c60:C60_18,hybridization_label_shuffle_control__c60:C60_19,c60:C60_18,c60:C60_19,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_036,c60:C60_e_036,hybridization_label_shuffle_control__c60:C60_18,hybridization_label_shuffle_control__c60:C60_41,c60:C60_18,c60:C60_41,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_037,c60:C60_e_037,hybridization_label_shuffle_control__c60:C60_19,hybridization_label_shuffle_control__c60:C60_46,c60:C60_19,c60:C60_46,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_038,c60:C60_e_038,hybridization_label_shuffle_control__c60:C60_20,hybridization_label_shuffle_control__c60:C60_21,c60:C60_20,c60:C60_21,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_039,c60:C60_e_039,hybridization_label_shuffle_control__c60:C60_20,hybridization_label_shuffle_control__c60:C60_24,c60:C60_20,c60:C60_24,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_040,c60:C60_e_040,hybridization_label_shuffle_control__c60:C60_21,hybridization_label_shuffle_control__c60:C60_23,c60:C60_21,c60:C60_23,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_041,c60:C60_e_041,hybridization_label_shuffle_control__c60:C60_22,hybridization_label_shuffle_control__c60:C60_23,c60:C60_22,c60:C60_23,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_042,c60:C60_e_042,hybridization_label_shuffle_control__c60:C60_22,hybridization_label_shuffle_control__c60:C60_24,c60:C60_22,c60:C60_24,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_043,c60:C60_e_043,hybridization_label_shuffle_control__c60:C60_22,hybridization_label_shuffle_control__c60:C60_27,c60:C60_22,c60:C60_27,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_044,c60:C60_e_044,hybridization_label_shuffle_control__c60:C60_23,hybridization_label_shuffle_control__c60:C60_47,c60:C60_23,c60:C60_47,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_045,c60:C60_e_045,hybridization_label_shuffle_control__c60:C60_24,hybridization_label_shuffle_control__c60:C60_57,c60:C60_24,c60:C60_57,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_046,c60:C60_e_046,hybridization_label_shuffle_control__c60:C60_25,hybridization_label_shuffle_control__c60:C60_26,c60:C60_25,c60:C60_26,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_047,c60:C60_e_047,hybridization_label_shuffle_control__c60:C60_25,hybridization_label_shuffle_control__c60:C60_29,c60:C60_25,c60:C60_29,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_048,c60:C60_e_048,hybridization_label_shuffle_control__c60:C60_26,hybridization_label_shuffle_control__c60:C60_28,c60:C60_26,c60:C60_28,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_049,c60:C60_e_049,hybridization_label_shuffle_control__c60:C60_27,hybridization_label_shuffle_control__c60:C60_28,c60:C60_27,c60:C60_28,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_050,c60:C60_e_050,hybridization_label_shuffle_control__c60:C60_27,hybridization_label_shuffle_control__c60:C60_29,c60:C60_27,c60:C60_29,5_6,1.45,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,c60,hybridization_label_shuffle_control__c60:C60_e_051,c60:C60_e_051,hybridization_label_shuffle_control__c60:C60_28,hybridization_label_shuffle_control__c60:C60_48,c60:C60_28,c60:C60_48,6_6,1.4,sp2_sp2,curved_fullerene_pi_network,curved_fullerene_sigma_cage,source scaffold copied before control transform,synthetic_control_only
