trial_id,edge_count,component_count,component_sizes_sorted_desc,largest_component_size,triangle_count,connected_triple_count,closed_triple_count,open_wedge_count,global_closure_ratio,semantic_within_block_edge_count,semantic_cross_block_edge_count,all_edges_within_semantic_blocks,all_components_are_cliques,component_sizes_match_observed_pattern,complete_disjoint_clique_blocks_confirmed,matches_exact_semantic_block_edge_set
28,161,1,42,42,79,1201,237,964,0.19733555370524564,31,130,false,false,false,false,false
29,161,1,42,42,76,1209,228,981,0.18858560794044665,29,132,false,false,false,false,false
30,161,1,42,42,72,1184,216,968,0.18243243243243243,33,128,false,false,false,false,false
31,161,1,42,42,65,1174,195,979,0.16609880749574105,29,132,false,false,false,false,false
32,161,1,42,42,61,1185,183,1002,0.15443037974683543,34,127,false,false,false,false,false
33,161,1,42,42,67,1197,201,996,0.16791979949874686,27,134,false,false,false,false,false
34,161,1,42,42,71,1172,213,959,0.181740614334471,27,134,false,false,false,false,false
35,161,1,42,42,73,1197,219,978,0.18295739348370926,32,129,false,false,false,false,false
36,161,1,42,42,89,1201,267,934,0.22231473771856786,22,139,false,false,false,false,false
37,161,1,42,42,61,1180,183,997,0.15508474576271186,33,128,false,false,false,false,false
38,161,1,42,42,77,1208,231,977,0.1912251655629139,30,131,false,false,false,false,false
39,161,1,42,42,80,1222,240,982,0.19639934533551553,31,130,false,false,false,false,false
40,161,1,42,42,66,1195,198,997,0.16569037656903765,35,126,false,false,false,false,false
41,161,1,42,42,83,1220,249,971,0.2040983606557377,35,126,false,false,false,false,false
42,161,1,42,42,85,1246,255,991,0.20465489566613163,25,136,false,false,false,false,false
43,161,1,42,42,77,1197,231,966,0.19298245614035087,34,127,false,false,false,false,false
44,161,1,42,42,75,1192,225,967,0.18875838926174496,34,127,false,false,false,false,false
45,161,1,42,42,65,1176,195,981,0.16581632653061223,34,127,false,false,false,false,false
46,161,1,42,42,77,1216,231,985,0.18996710526315788,37,124,false,false,false,false,false
47,161,1,42,42,65,1165,195,970,0.16738197424892703,33,128,false,false,false,false,false
48,161,1,42,42,74,1199,222,977,0.18515429524603835,33,128,false,false,false,false,false
49,161,1,42,42,92,1196,276,920,0.23076923076923078,29,132,false,false,false,false,false
50,161,1,42,42,76,1144,228,916,0.1993006993006993,31,130,false,false,false,false,false
51,161,2,41;1,41,80,1217,240,977,0.1972062448644207,30,131,false,false,false,false,false
52,161,1,42,42,64,1188,192,996,0.16161616161616163,29,132,false,false,false,false,false
53,161,1,42,42,77,1202,231,971,0.19217970049916805,25,136,false,false,false,false,false
54,161,1,42,42,75,1173,225,948,0.1918158567774936,29,132,false,false,false,false,false
55,161,1,42,42,61,1167,183,984,0.15681233933161953,23,138,false,false,false,false,false
56,161,1,42,42,75,1186,225,961,0.1897133220910624,31,130,false,false,false,false,false
57,161,1,42,42,86,1218,258,960,0.21182266009852216,30,131,false,false,false,false,false
58,161,1,42,42,65,1192,195,997,0.16359060402684564,27,134,false,false,false,false,false
59,161,1,42,42,68,1222,204,1018,0.16693944353518822,37,124,false,false,false,false,false
60,161,1,42,42,78,1212,234,978,0.19306930693069307,31,130,false,false,false,false,false
61,161,1,42,42,70,1204,210,994,0.1744186046511628,31,130,false,false,false,false,false
62,161,1,42,42,70,1191,210,981,0.17632241813602015,32,129,false,false,false,false,false
63,161,1,42,42,63,1181,189,992,0.16003386960203217,29,132,false,false,false,false,false
64,161,1,42,42,88,1244,264,980,0.21221864951768488,33,128,false,false,false,false,false
65,161,1,42,42,71,1152,213,939,0.18489583333333334,28,133,false,false,false,false,false
66,161,2,41;1,41,90,1237,270,967,0.21827000808407437,38,123,false,false,false,false,false
67,161,1,42,42,78,1192,234,958,0.19630872483221476,31,130,false,false,false,false,false
68,161,1,42,42,87,1237,261,976,0.21099434114793855,36,125,false,false,false,false,false
69,161,1,42,42,69,1220,207,1013,0.16967213114754098,30,131,false,false,false,false,false
70,161,1,42,42,64,1183,192,991,0.16229923922231615,32,129,false,false,false,false,false
71,161,1,42,42,80,1208,240,968,0.1986754966887417,33,128,false,false,false,false,false
72,161,1,42,42,76,1222,228,994,0.18657937806873978,32,129,false,false,false,false,false
73,161,1,42,42,74,1245,222,1023,0.1783132530120482,24,137,false,false,false,false,false
74,161,1,42,42,59,1185,177,1008,0.14936708860759493,34,127,false,false,false,false,false
75,161,1,42,42,70,1186,210,976,0.17706576728499157,34,127,false,false,false,false,false
76,161,1,42,42,62,1182,186,996,0.15736040609137056,25,136,false,false,false,false,false
77,161,1,42,42,82,1227,246,981,0.20048899755501223,34,127,false,false,false,false,false
78,161,1,42,42,64,1158,192,966,0.16580310880829016,28,133,false,false,false,false,false
79,161,1,42,42,71,1171,213,958,0.18189581554227155,27,134,false,false,false,false,false
80,161,1,42,42,66,1185,198,987,0.1670886075949367,27,134,false,false,false,false,false
81,161,1,42,42,80,1238,240,998,0.1938610662358643,29,132,false,false,false,false,false
82,161,1,42,42,66,1203,198,1005,0.16458852867830423,29,132,false,false,false,false,false
83,161,1,42,42,78,1210,234,976,0.1933884297520661,21,140,false,false,false,false,false
84,161,1,42,42,69,1248,207,1041,0.1658653846153846,34,127,false,false,false,false,false
85,161,1,42,42,79,1231,237,994,0.1925264012997563,25,136,false,false,false,false,false
86,161,1,42,42,73,1176,219,957,0.18622448979591838,30,131,false,false,false,false,false
87,161,1,42,42,84,1216,252,964,0.20723684210526316,29,132,false,false,false,false,false
88,161,1,42,42,75,1207,225,982,0.1864125932062966,26,135,false,false,false,false,false
89,161,1,42,42,69,1166,207,959,0.17753001715265868,32,129,false,false,false,false,false
90,161,1,42,42,73,1205,219,986,0.1817427385892116,28,133,false,false,false,false,false
91,161,1,42,42,71,1231,213,1018,0.17303005686433795,31,130,false,false,false,false,false
92,161,1,42,42,84,1240,252,988,0.2032258064516129,35,126,false,false,false,false,false
93,161,1,42,42,78,1199,234,965,0.195162635529608,25,136,false,false,false,false,false
94,161,1,42,42,51,1143,153,990,0.13385826771653545,29,132,false,false,false,false,false
95,161,1,42,42,81,1216,243,973,0.19983552631578946,28,133,false,false,false,false,false
96,161,1,42,42,75,1250,225,1025,0.18,29,132,false,false,false,false,false
97,161,1,42,42,62,1156,186,970,0.16089965397923875,26,135,false,false,false,false,false
98,161,1,42,42,81,1221,243,978,0.19901719901719903,23,138,false,false,false,false,false
99,161,1,42,42,80,1217,240,977,0.1972062448644207,31,130,false,false,false,false,false
100,161,1,42,42,74,1163,222,941,0.19088564058469476,31,130,false,false,false,false,false
101,161,1,42,42,68,1179,204,975,0.17302798982188294,33,128,false,false,false,false,false
102,161,1,42,42,81,1194,243,951,0.20351758793969849,34,127,false,false,false,false,false
103,161,1,42,42,84,1191,252,939,0.21158690176322417,26,135,false,false,false,false,false
104,161,1,42,42,70,1191,210,981,0.17632241813602015,27,134,false,false,false,false,false
105,161,1,42,42,72,1183,216,967,0.18258664412510567,42,119,false,false,false,false,false
106,161,1,42,42,79,1201,237,964,0.19733555370524564,30,131,false,false,false,false,false
107,161,1,42,42,73,1181,219,962,0.18543607112616428,34,127,false,false,false,false,false
108,161,1,42,42,70,1199,210,989,0.17514595496246874,27,134,false,false,false,false,false
109,161,1,42,42,80,1198,240,958,0.2003338898163606,27,134,false,false,false,false,false
110,161,1,42,42,78,1181,234,947,0.19813717188823032,27,134,false,false,false,false,false
111,161,1,42,42,81,1194,243,951,0.20351758793969849,21,140,false,false,false,false,false
112,161,1,42,42,68,1187,204,983,0.17186183656276327,35,126,false,false,false,false,false
113,161,1,42,42,72,1222,216,1006,0.176759410801964,30,131,false,false,false,false,false
114,161,1,42,42,66,1193,198,995,0.16596814752724226,32,129,false,false,false,false,false
115,161,1,42,42,68,1154,204,950,0.17677642980935876,43,118,false,false,false,false,false
116,161,1,42,42,69,1180,207,973,0.17542372881355933,36,125,false,false,false,false,false
117,161,1,42,42,82,1238,246,992,0.1987075928917609,29,132,false,false,false,false,false
118,161,1,42,42,73,1182,219,963,0.18527918781725888,20,141,false,false,false,false,false
119,161,1,42,42,80,1218,240,978,0.19704433497536947,33,128,false,false,false,false,false
120,161,1,42,42,67,1154,201,953,0.17417677642980936,32,129,false,false,false,false,false
121,161,1,42,42,67,1166,201,965,0.17238421955403088,23,138,false,false,false,false,false
122,161,1,42,42,82,1219,246,973,0.2018047579983593,32,129,false,false,false,false,false
123,161,1,42,42,70,1215,210,1005,0.1728395061728395,32,129,false,false,false,false,false
124,161,1,42,42,76,1242,228,1014,0.18357487922705315,36,125,false,false,false,false,false
125,161,1,42,42,73,1222,219,1003,0.17921440261865793,26,135,false,false,false,false,false
126,161,1,42,42,60,1197,180,1017,0.15037593984962405,26,135,false,false,false,false,false
127,161,1,42,42,83,1250,249,1001,0.1992,28,133,false,false,false,false,false
128,161,1,42,42,75,1199,225,974,0.18765638031693077,31,130,false,false,false,false,false
129,161,1,42,42,91,1225,273,952,0.22285714285714286,27,134,false,false,false,false,false
130,161,1,42,42,62,1183,186,997,0.15722738799661876,25,136,false,false,false,false,false
131,161,1,42,42,70,1204,210,994,0.1744186046511628,28,133,false,false,false,false,false
132,161,1,42,42,73,1196,219,977,0.18311036789297658,33,128,false,false,false,false,false
133,161,1,42,42,69,1184,207,977,0.17483108108108109,28,133,false,false,false,false,false
134,161,1,42,42,69,1215,207,1008,0.17037037037037037,25,136,false,false,false,false,false
135,161,1,42,42,60,1144,180,964,0.15734265734265734,29,132,false,false,false,false,false
136,161,1,42,42,69,1182,207,975,0.1751269035532995,31,130,false,false,false,false,false
137,161,1,42,42,72,1182,216,966,0.18274111675126903,29,132,false,false,false,false,false
138,161,1,42,42,62,1183,186,997,0.15722738799661876,26,135,false,false,false,false,false
139,161,1,42,42,84,1205,252,953,0.2091286307053942,28,133,false,false,false,false,false
140,161,1,42,42,77,1219,231,988,0.18949958982772763,28,133,false,false,false,false,false
141,161,1,42,42,72,1223,216,1007,0.17661488143908421,34,127,false,false,false,false,false
142,161,1,42,42,79,1229,237,992,0.19283970707892595,30,131,false,false,false,false,false
143,161,1,42,42,70,1221,210,1011,0.171990171990172,26,135,false,false,false,false,false
144,161,1,42,42,71,1216,213,1003,0.17516447368421054,34,127,false,false,false,false,false
145,161,1,42,42,82,1217,246,971,0.20213640098603122,28,133,false,false,false,false,false
146,161,1,42,42,75,1204,225,979,0.18687707641196014,30,131,false,false,false,false,false
147,161,1,42,42,72,1189,216,973,0.18166526492851134,44,117,false,false,false,false,false
148,161,1,42,42,75,1198,225,973,0.18781302170283806,37,124,false,false,false,false,false
149,161,1,42,42,64,1183,192,991,0.16229923922231615,30,131,false,false,false,false,false
150,161,1,42,42,61,1160,183,977,0.15775862068965518,25,136,false,false,false,false,false
151,161,1,42,42,68,1184,204,980,0.17229729729729729,30,131,false,false,false,false,false
152,161,1,42,42,74,1206,222,984,0.18407960199004975,36,125,false,false,false,false,false
153,161,1,42,42,72,1185,216,969,0.18227848101265823,31,130,false,false,false,false,false
154,161,1,42,42,75,1190,225,965,0.18907563025210083,30,131,false,false,false,false,false
155,161,1,42,42,80,1221,240,981,0.19656019656019655,33,128,false,false,false,false,false
156,161,1,42,42,82,1244,246,998,0.1977491961414791,30,131,false,false,false,false,false
157,161,1,42,42,83,1198,249,949,0.20784641068447413,34,127,false,false,false,false,false
158,161,1,42,42,58,1162,174,988,0.14974182444061962,24,137,false,false,false,false,false
159,161,1,42,42,76,1211,228,983,0.18827415359207267,28,133,false,false,false,false,false
160,161,1,42,42,70,1198,210,988,0.17529215358931552,26,135,false,false,false,false,false
161,161,1,42,42,96,1278,288,990,0.22535211267605634,32,129,false,false,false,false,false
162,161,1,42,42,88,1246,264,982,0.21187800963081863,42,119,false,false,false,false,false
163,161,1,42,42,72,1187,216,971,0.18197135636057288,29,132,false,false,false,false,false
164,161,1,42,42,68,1198,204,994,0.17028380634390652,28,133,false,false,false,false,false
165,161,1,42,42,67,1207,201,1006,0.16652858326429162,28,133,false,false,false,false,false
166,161,1,42,42,58,1164,174,990,0.14948453608247422,23,138,false,false,false,false,false
167,161,1,42,42,66,1174,198,976,0.1686541737649063,35,126,false,false,false,false,false
168,161,1,42,42,73,1194,219,975,0.18341708542713567,22,139,false,false,false,false,false
169,161,1,42,42,69,1171,207,964,0.17677198975234842,28,133,false,false,false,false,false
170,161,1,42,42,88,1204,264,940,0.21926910299003322,30,131,false,false,false,false,false
171,161,1,42,42,81,1229,243,986,0.19772172497965826,26,135,false,false,false,false,false
172,161,1,42,42,79,1212,237,975,0.19554455445544555,32,129,false,false,false,false,false
173,161,1,42,42,77,1197,231,966,0.19298245614035087,29,132,false,false,false,false,false
174,161,1,42,42,70,1198,210,988,0.17529215358931552,30,131,false,false,false,false,false
175,161,1,42,42,66,1191,198,993,0.16624685138539042,20,141,false,false,false,false,false
176,161,1,42,42,89,1223,267,956,0.21831561733442356,32,129,false,false,false,false,false
177,161,1,42,42,83,1174,249,925,0.2120954003407155,33,128,false,false,false,false,false
178,161,1,42,42,58,1149,174,975,0.1514360313315927,30,131,false,false,false,false,false
179,161,1,42,42,82,1199,246,953,0.20517097581317764,26,135,false,false,false,false,false
180,161,1,42,42,82,1206,246,960,0.20398009950248755,26,135,false,false,false,false,false
181,161,1,42,42,72,1204,216,988,0.17940199335548174,33,128,false,false,false,false,false
182,161,1,42,42,88,1206,264,942,0.21890547263681592,35,126,false,false,false,false,false
183,161,1,42,42,61,1189,183,1006,0.15391084945332212,25,136,false,false,false,false,false
184,161,1,42,42,63,1189,189,1000,0.15895710681244743,35,126,false,false,false,false,false
185,161,1,42,42,79,1175,237,938,0.20170212765957446,38,123,false,false,false,false,false
186,161,1,42,42,61,1158,183,975,0.15803108808290156,28,133,false,false,false,false,false
187,161,1,42,42,71,1161,213,948,0.1834625322997416,37,124,false,false,false,false,false
188,161,1,42,42,70,1170,210,960,0.1794871794871795,31,130,false,false,false,false,false
189,161,1,42,42,65,1141,195,946,0.17090271691498685,38,123,false,false,false,false,false
190,161,1,42,42,84,1224,252,972,0.20588235294117646,21,140,false,false,false,false,false
191,161,1,42,42,67,1166,201,965,0.17238421955403088,35,126,false,false,false,false,false
192,161,1,42,42,81,1187,243,944,0.2047177759056445,32,129,false,false,false,false,false
193,161,1,42,42,76,1205,228,977,0.1892116182572614,30,131,false,false,false,false,false
194,161,1,42,42,68,1160,204,956,0.17586206896551723,36,125,false,false,false,false,false
195,161,1,42,42,80,1238,240,998,0.1938610662358643,28,133,false,false,false,false,false
196,161,1,42,42,66,1198,198,1000,0.1652754590984975,29,132,false,false,false,false,false
197,161,1,42,42,80,1169,240,929,0.20530367835757057,23,138,false,false,false,false,false
198,161,1,42,42,65,1207,195,1012,0.1615575807787904,25,136,false,false,false,false,false
199,161,1,42,42,66,1163,198,965,0.1702493551160791,34,127,false,false,false,false,false
200,161,1,42,42,65,1180,195,985,0.1652542372881356,33,128,false,false,false,false,false
201,161,1,42,42,78,1212,234,978,0.19306930693069307,34,127,false,false,false,false,false
202,161,1,42,42,65,1163,195,968,0.16766981943250214,20,141,false,false,false,false,false
203,161,1,42,42,83,1223,249,974,0.2035977105478332,32,129,false,false,false,false,false
204,161,1,42,42,84,1220,252,968,0.20655737704918034,25,136,false,false,false,false,false
205,161,1,42,42,80,1196,240,956,0.20066889632107024,30,131,false,false,false,false,false
206,161,1,42,42,69,1191,207,984,0.17380352644836272,36,125,false,false,false,false,false
207,161,1,42,42,80,1203,240,963,0.19950124688279303,33,128,false,false,false,false,false
208,161,1,42,42,71,1196,213,983,0.17809364548494983,26,135,false,false,false,false,false
209,161,1,42,42,65,1153,195,958,0.1691240242844753,34,127,false,false,false,false,false
210,161,1,42,42,76,1196,228,968,0.19063545150501673,27,134,false,false,false,false,false
211,161,1,42,42,86,1238,258,980,0.2084006462035541,32,129,false,false,false,false,false
212,161,1,42,42,85,1220,255,965,0.20901639344262296,32,129,false,false,false,false,false
213,161,1,42,42,70,1175,210,965,0.17872340425531916,22,139,false,false,false,false,false
214,161,1,42,42,81,1229,243,986,0.19772172497965826,34,127,false,false,false,false,false
215,161,1,42,42,82,1225,246,979,0.20081632653061224,32,129,false,false,false,false,false
216,161,1,42,42,85,1251,255,996,0.2038369304556355,38,123,false,false,false,false,false
217,161,1,42,42,90,1242,270,972,0.21739130434782608,30,131,false,false,false,false,false
218,161,1,42,42,80,1228,240,988,0.19543973941368079,28,133,false,false,false,false,false
219,161,1,42,42,70,1192,210,982,0.1761744966442953,28,133,false,false,false,false,false
220,161,1,42,42,87,1255,261,994,0.20796812749003984,31,130,false,false,false,false,false
221,161,1,42,42,69,1161,207,954,0.17829457364341086,28,133,false,false,false,false,false
222,161,1,42,42,76,1223,228,995,0.18642681929681112,30,131,false,false,false,false,false
223,161,1,42,42,59,1150,177,973,0.15391304347826087,29,132,false,false,false,false,false
224,161,1,42,42,62,1161,186,975,0.16020671834625322,35,126,false,false,false,false,false
225,161,1,42,42,81,1204,243,961,0.20182724252491693,27,134,false,false,false,false,false
226,161,1,42,42,72,1197,216,981,0.18045112781954886,29,132,false,false,false,false,false
227,161,1,42,42,74,1177,222,955,0.18861512319456245,30,131,false,false,false,false,false
228,161,1,42,42,72,1226,216,1010,0.1761827079934747,31,130,false,false,false,false,false
229,161,1,42,42,66,1176,198,978,0.1683673469387755,28,133,false,false,false,false,false
230,161,1,42,42,64,1176,192,984,0.16326530612244897,31,130,false,false,false,false,false
231,161,1,42,42,80,1219,240,979,0.19688269073010664,34,127,false,false,false,false,false
232,161,1,42,42,81,1198,243,955,0.2028380634390651,27,134,false,false,false,false,false
233,161,1,42,42,77,1192,231,961,0.19379194630872484,37,124,false,false,false,false,false
234,161,1,42,42,80,1207,240,967,0.1988400994200497,24,137,false,false,false,false,false
235,161,1,42,42,68,1180,204,976,0.17288135593220338,28,133,false,false,false,false,false
236,161,1,42,42,70,1213,210,1003,0.1731244847485573,27,134,false,false,false,false,false
237,161,1,42,42,81,1221,243,978,0.19901719901719903,30,131,false,false,false,false,false
238,161,1,42,42,70,1156,210,946,0.18166089965397925,29,132,false,false,false,false,false
239,161,1,42,42,78,1223,234,989,0.19133278822567457,31,130,false,false,false,false,false
240,161,1,42,42,76,1215,228,987,0.18765432098765433,40,121,false,false,false,false,false
241,161,1,42,42,68,1195,204,991,0.1707112970711297,23,138,false,false,false,false,false
242,161,1,42,42,84,1229,252,977,0.2050447518307567,29,132,false,false,false,false,false
243,161,1,42,42,61,1192,183,1009,0.1535234899328859,32,129,false,false,false,false,false
244,161,1,42,42,80,1223,240,983,0.19623875715453803,19,142,false,false,false,false,false
245,161,1,42,42,72,1195,216,979,0.18075313807531382,38,123,false,false,false,false,false
246,161,1,42,42,69,1160,207,953,0.17844827586206896,24,137,false,false,false,false,false
247,161,1,42,42,82,1233,246,987,0.19951338199513383,34,127,false,false,false,false,false
248,161,1,42,42,73,1201,219,982,0.1823480432972523,36,125,false,false,false,false,false
249,161,1,42,42,70,1199,210,989,0.17514595496246874,35,126,false,false,false,false,false
250,161,1,42,42,80,1237,240,997,0.19401778496362165,31,130,false,false,false,false,false
251,161,1,42,42,74,1193,222,971,0.18608549874266556,30,131,false,false,false,false,false
252,161,1,42,42,90,1247,270,977,0.2165196471531676,33,128,false,false,false,false,false
253,161,1,42,42,74,1199,222,977,0.18515429524603835,31,130,false,false,false,false,false
254,161,1,42,42,72,1161,216,945,0.18604651162790697,25,136,false,false,false,false,false
255,161,1,42,42,74,1181,222,959,0.18797629127857748,30,131,false,false,false,false,false
256,161,1,42,42,74,1183,222,961,0.18765849535080303,30,131,false,false,false,false,false
257,161,1,42,42,53,1175,159,1016,0.13531914893617022,24,137,false,false,false,false,false
258,161,1,42,42,66,1167,198,969,0.16966580976863754,29,132,false,false,false,false,false
259,161,1,42,42,80,1232,240,992,0.19480519480519481,31,130,false,false,false,false,false
260,161,1,42,42,65,1188,195,993,0.16414141414141414,23,138,false,false,false,false,false
261,161,1,42,42,63,1147,189,958,0.16477768090671316,35,126,false,false,false,false,false
262,161,1,42,42,75,1210,225,985,0.1859504132231405,36,125,false,false,false,false,false
263,161,1,42,42,79,1205,237,968,0.1966804979253112,28,133,false,false,false,false,false
264,161,1,42,42,72,1188,216,972,0.18181818181818182,40,121,false,false,false,false,false
265,161,1,42,42,66,1185,198,987,0.1670886075949367,28,133,false,false,false,false,false
266,161,1,42,42,69,1196,207,989,0.17307692307692307,31,130,false,false,false,false,false
267,161,1,42,42,74,1213,222,991,0.18301731244847486,28,133,false,false,false,false,false
268,161,1,42,42,80,1258,240,1018,0.1907790143084261,31,130,false,false,false,false,false
269,161,1,42,42,75,1176,225,951,0.1913265306122449,32,129,false,false,false,false,false
270,161,1,42,42,73,1175,219,956,0.18638297872340426,29,132,false,false,false,false,false
271,161,1,42,42,77,1189,231,958,0.19428090832632464,27,134,false,false,false,false,false
272,161,1,42,42,69,1211,207,1004,0.17093311312964493,33,128,false,false,false,false,false
273,161,1,42,42,73,1213,219,994,0.18054410552349548,36,125,false,false,false,false,false
274,161,1,42,42,84,1190,252,938,0.21176470588235294,31,130,false,false,false,false,false
275,161,1,42,42,55,1168,165,1003,0.14126712328767124,25,136,false,false,false,false,false
276,161,1,42,42,63,1159,189,970,0.1630716134598792,30,131,false,false,false,false,false
277,161,1,42,42,59,1173,177,996,0.15089514066496162,24,137,false,false,false,false,false
278,161,1,42,42,69,1183,207,976,0.1749788672865596,35,126,false,false,false,false,false
279,161,1,42,42,65,1215,195,1020,0.16049382716049382,32,129,false,false,false,false,false
280,161,1,42,42,89,1250,267,983,0.2136,30,131,false,false,false,false,false
281,161,1,42,42,75,1230,225,1005,0.18292682926829268,33,128,false,false,false,false,false
282,161,1,42,42,88,1261,264,997,0.20935765265662173,33,128,false,false,false,false,false
283,161,1,42,42,74,1196,222,974,0.18561872909698995,33,128,false,false,false,false,false
284,161,1,42,42,71,1209,213,996,0.1761786600496278,30,131,false,false,false,false,false
285,161,1,42,42,66,1166,198,968,0.16981132075471697,33,128,false,false,false,false,false
286,161,1,42,42,70,1165,210,955,0.18025751072961374,30,131,false,false,false,false,false
287,161,1,42,42,63,1186,189,997,0.15935919055649242,26,135,false,false,false,false,false
288,161,1,42,42,68,1194,204,990,0.1708542713567839,29,132,false,false,false,false,false
289,161,1,42,42,80,1220,240,980,0.19672131147540983,28,133,false,false,false,false,false
290,161,1,42,42,78,1195,234,961,0.19581589958158996,24,137,false,false,false,false,false
291,161,1,42,42,66,1165,198,967,0.16995708154506436,33,128,false,false,false,false,false
292,161,1,42,42,70,1185,210,975,0.17721518987341772,27,134,false,false,false,false,false
293,161,1,42,42,68,1238,204,1034,0.16478190630048464,33,128,false,false,false,false,false
294,161,1,42,42,79,1268,237,1031,0.18690851735015773,25,136,false,false,false,false,false
295,161,1,42,42,69,1189,207,982,0.1740958788898234,31,130,false,false,false,false,false
296,161,1,42,42,64,1181,192,989,0.16257408975444537,27,134,false,false,false,false,false
297,161,1,42,42,72,1188,216,972,0.18181818181818182,20,141,false,false,false,false,false
298,161,1,42,42,62,1189,186,1003,0.1564339781328848,27,134,false,false,false,false,false
299,161,1,42,42,82,1230,246,984,0.2,28,133,false,false,false,false,false
300,161,1,42,42,74,1204,222,982,0.18438538205980065,34,127,false,false,false,false,false
301,161,1,42,42,70,1194,210,984,0.17587939698492464,23,138,false,false,false,false,false
302,161,1,42,42,60,1169,180,989,0.15397775876817793,28,133,false,false,false,false,false
303,161,1,42,42,71,1210,213,997,0.17603305785123968,33,128,false,false,false,false,false
304,161,1,42,42,73,1159,219,940,0.18895599654874892,33,128,false,false,false,false,false
305,161,1,42,42,72,1179,216,963,0.183206106870229,26,135,false,false,false,false,false
306,161,1,42,42,72,1177,216,961,0.18351741716227699,42,119,false,false,false,false,false
307,161,1,42,42,58,1186,174,1012,0.1467116357504216,30,131,false,false,false,false,false
308,161,1,42,42,93,1277,279,998,0.21848081440877057,24,137,false,false,false,false,false
309,161,1,42,42,95,1229,285,944,0.23189585028478438,29,132,false,false,false,false,false
310,161,1,42,42,72,1210,216,994,0.17851239669421487,28,133,false,false,false,false,false
311,161,1,42,42,74,1188,222,966,0.18686868686868688,29,132,false,false,false,false,false
312,161,1,42,42,61,1167,183,984,0.15681233933161953,37,124,false,false,false,false,false
313,161,1,42,42,70,1166,210,956,0.18010291595197256,39,122,false,false,false,false,false
314,161,1,42,42,62,1194,186,1008,0.15577889447236182,34,127,false,false,false,false,false
315,161,1,42,42,102,1242,306,936,0.2463768115942029,29,132,false,false,false,false,false
316,161,1,42,42,89,1242,267,975,0.21497584541062803,24,137,false,false,false,false,false
317,161,1,42,42,80,1261,240,1021,0.19032513877874702,32,129,false,false,false,false,false
318,161,1,42,42,75,1193,225,968,0.18860016764459347,28,133,false,false,false,false,false
319,161,1,42,42,75,1216,225,991,0.18503289473684212,30,131,false,false,false,false,false
320,161,1,42,42,65,1174,195,979,0.16609880749574105,33,128,false,false,false,false,false
321,161,1,42,42,79,1152,237,915,0.20572916666666666,34,127,false,false,false,false,false
322,161,1,42,42,70,1163,210,953,0.18056749785038692,24,137,false,false,false,false,false
323,161,1,42,42,73,1180,219,961,0.18559322033898304,33,128,false,false,false,false,false
324,161,1,42,42,76,1225,228,997,0.18612244897959185,28,133,false,false,false,false,false
