control_id,original_system_id,control_family_id,original_control_delta,control_destruction_effectiveness_score,degenerate_control_flag,destruction_effectiveness_level,likely_reason,interpretation_boundary
hybridization_label_shuffle_control__benzene,benzene,hybridization_label_shuffle_control,0.053333,0.053333,True,low_or_degenerate,topology_preservation+degree_preservation+low_control_destruction_effectiveness,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
hybridization_label_shuffle_control__c60,c60,hybridization_label_shuffle_control,0.058667,0.058667,True,low_or_degenerate,topology_preservation+degree_preservation+low_control_destruction_effectiveness,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
hybridization_label_shuffle_control__ethyne,ethyne,hybridization_label_shuffle_control,0.32,0.32,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
sigma_pi_label_shuffle_control__adamantane,adamantane,sigma_pi_label_shuffle_control,0.3035,0.3035,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
sigma_pi_label_shuffle_control__benzene,benzene,sigma_pi_label_shuffle_control,0.32,0.32,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
sigma_pi_label_shuffle_control__c60,c60,sigma_pi_label_shuffle_control,0.094583,0.094583,True,low_or_degenerate,topology_preservation+degree_preservation+low_control_destruction_effectiveness,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
sigma_pi_label_shuffle_control__ethyne,ethyne,sigma_pi_label_shuffle_control,0.32,0.32,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_matched_random_control__adamantane,adamantane,topology_matched_random_control,0.203,0.203,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_matched_random_control__benzene,benzene,topology_matched_random_control,0.203,0.203,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_matched_random_control__c60,c60,topology_matched_random_control,0.203,0.203,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_matched_random_control__ethyne,ethyne,topology_matched_random_control,0.203,0.203,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_preserving_label_randomization__adamantane,adamantane,topology_preserving_label_randomization,0.488,0.488,False,strong,control_changed_weighted_component_set,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_preserving_label_randomization__benzene,benzene,topology_preserving_label_randomization,0.38,0.38,False,strong,control_changed_weighted_component_set,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_preserving_label_randomization__c60,c60,topology_preserving_label_randomization,0.23775,0.23775,False,moderate,partial_scaffold_preservation,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
topology_preserving_label_randomization__ethyne,ethyne,topology_preserving_label_randomization,0.5,0.5,False,strong,control_changed_weighted_component_set,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
within_system_label_shuffle__adamantane,adamantane,within_system_label_shuffle,0.0,0.0,True,low_or_degenerate,label_uniformity_or_shuffle_degeneracy+topology_preservation+degree_preservation+local_environment_reuse+low_control_destruction_effectiveness,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
within_system_label_shuffle__benzene,benzene,within_system_label_shuffle,0.0,0.0,True,low_or_degenerate,label_uniformity_or_shuffle_degeneracy+topology_preservation+degree_preservation+local_environment_reuse+low_control_destruction_effectiveness,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
within_system_label_shuffle__c60,c60,within_system_label_shuffle,0.084,0.084,True,low_or_degenerate,topology_preservation+degree_preservation+low_control_destruction_effectiveness,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
within_system_label_shuffle__ethyne,ethyne,within_system_label_shuffle,0.0,0.0,True,low_or_degenerate,label_uniformity_or_shuffle_degeneracy+topology_preservation+degree_preservation+local_environment_reuse+low_control_destruction_effectiveness,"synthetic/reference-style diagnostic only; no real-data validation, no molecular validation, no physical validation, no spacetime emergence, no physical metric recovery, no causal structure, no de-Broglie confirmation, no real quantum dynamics, no proof that electronic configurations are recognized, and no proof that bonding organization is physically recognized"
