trace_item,value,path,line_number,excerpt,assessment
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,330,"{""contract_item"": ""extract03_s1_addendum"", ""path"": rel(S1), ""observed_value"": s1_manifest[""status""], ""expected_value"": ""extract03s1_split_seed_freeze_addendum_completed_no_execution"", ""sha256"": s1_hash, ""status"": ""pass"", ""notes"": ""18 artifacts; aggregate deter",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,331,"{""contract_item"": ""canonical_pair_basis"", ""path"": rel(S1 / ""06_canonical_pair_basis_review.csv""), ""observed_value"": pair_basis_hash, ""expected_value"": ""51962668d944195bb1409a5f9d6972636c660184aa6be3ab530a3d980cf96e32"", ""sha256"": sha(S1 / ""06_canonical_pair_bas",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,334,"freeze_rows = [{""freeze_id"": d[""freeze_id""], ""freeze_item"": d[""freeze_item""], ""decision_value"": json.dumps(d[""decision_value""], ensure_ascii=False), ""decision_status"": d[""decision_status""], ""human_approval"": d[""human_approval""], ""blocks_actual_execution"": d[""b",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,336,"source_rows = [{""source_mode"": ""spatial_pair_delta_phi_x"", ""preferred_source"": rel(F3_DB), ""fallback_source"": rel(F3_DIR / ""07_spatial_delta_phi_x_export.csv""), ""source_rows"": len(rows), ""ordered_non_diagonal_pairs"": len(pairs), ""x_points"": len(x_indices), ""wr",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,339,"mapping_rows = [{""runtime_field"": name, ""source_or_formula"": source_or_formula, ""data_type"": dtype, ""unit_status"": unit, ""dimension_status"": dimension, ""lineage_bundle_sha256"": lineage_bundle} for name, source_or_formula, dtype, unit, dimension in [",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,349,"vector_rows = [{""pair_index"": i, ""canonical_pair_id"": pair_ids[i], ""split_label"": split_rows[i][""split_label""], ""x_point_count"": len(wrapped[i]), ""wrapped_l2_norm_before"": format(float(norms[i]), "".17g""), ""normalized_l2_norm"": format(float(np.linalg.norm(norma",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,353,"return [{""row_pair_id"": pair_ids[i], ""column_pair_id"": pair_ids[j], value_name: format(float(matrix[i, j]), "".17g""), ""lineage_bundle_sha256"": lineage_bundle} for i in range(n) for j in range(n)]",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,354,"write_csv(FILES[10], [""row_pair_id"", ""column_pair_id"", ""K_candidate"", ""lineage_bundle_sha256""], matrix_rows(K, ""K_candidate""))",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,357,"write_csv(FILES[12], [""row_pair_id"", ""column_pair_id"", ""d_cost_candidate"", ""lineage_bundle_sha256""], matrix_rows(d, ""d_cost_candidate""))",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,358,"write_csv(FILES[13], [""row_pair_id"", ""column_pair_id"", ""D_shortest_path_candidate"", ""lineage_bundle_sha256""], matrix_rows(D, ""D_shortest_path_candidate""))",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,359,"write_csv(FILES[14], [""row_pair_id"", ""column_pair_id"", ""relation_strength"", ""lineage_bundle_sha256""], matrix_rows(strength, ""relation_strength""))",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,360,"edge_rows = [{""pair_a"": pair_ids[i], ""pair_b"": pair_ids[j], ""strength"": format(float(strength[i,j]), "".17g""), ""theta_edge"": THETA_EDGE, ""edge_candidate_flag"": int(edge[i,j]), ""diagonal"": int(i == j), ""claim_boundary"": ""candidate edge only"", ""lineage_bundle_sha",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,363,"{""kernel_name"": ""gram_distance_kernel"", ""execution_status"": ""executed"", ""output"": ""K and d candidate matrices"", ""stop_or_skip_reason"": ""none"", ""claim_boundary"": CLAIM, ""lineage_bundle_sha256"": lineage_bundle},",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,364,"{""kernel_name"": ""shortest_path_kernel"", ""execution_status"": ""executed"", ""output"": ""D candidate matrix"", ""stop_or_skip_reason"": ""none"", ""claim_boundary"": CLAIM, ""lineage_bundle_sha256"": lineage_bundle},",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,365,"{""kernel_name"": ""edge_candidate_kernel"", ""execution_status"": ""executed"", ""output"": ""edge candidate flags"", ""stop_or_skip_reason"": ""none"", ""claim_boundary"": CLAIM, ""lineage_bundle_sha256"": lineage_bundle},",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,366,"{""kernel_name"": ""cluster_dendrogram_kernel"", ""execution_status"": ""executed"", ""output"": ""average-linkage dendrogram candidates"", ""stop_or_skip_reason"": ""bootstrap stability not certified"", ""claim_boundary"": CLAIM, ""lineage_bundle_sha256"": lineage_bundle},",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,367,"{""kernel_name"": ""motif_stability_kernel"", ""execution_status"": ""skipped_with_reason"", ""output"": ""motif candidate IDs only; no stability certification"", ""stop_or_skip_reason"": ""S1 does not freeze bootstrap resampling unit/method or stability threshold"", ""claim_b",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,374,"CREATE TABLE extract03a_r1_run (run_id TEXT PRIMARY KEY,status TEXT NOT NULL,created_at_utc TEXT NOT NULL,lineage_bundle_sha256 TEXT NOT NULL,claim_boundary TEXT NOT NULL);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,375,"CREATE TABLE extract03a_r1_source_selection (source_mode TEXT,source_path TEXT,source_rows INTEGER,pair_count INTEGER,x_points INTEGER,lineage_bundle_sha256 TEXT);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,376,"CREATE TABLE extract03a_r1_pair_split_assignment (pair_index INTEGER PRIMARY KEY,canonical_pair_id TEXT,split_label TEXT,split_hash TEXT,u REAL,lineage_bundle_sha256 TEXT);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,377,"CREATE TABLE extract03a_r1_phase_response_vector (pair_index INTEGER PRIMARY KEY,canonical_pair_id TEXT,x_point_count INTEGER,l2_norm_before REAL,l2_norm_after REAL,status TEXT,lineage_bundle_sha256 TEXT);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,378,"CREATE TABLE extract03a_r1_K_candidate (row_pair_id TEXT,column_pair_id TEXT,value REAL,lineage_bundle_sha256 TEXT,PRIMARY KEY(row_pair_id,column_pair_id));",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,379,"CREATE TABLE extract03a_r1_distance_cost (row_pair_id TEXT,column_pair_id TEXT,value REAL,lineage_bundle_sha256 TEXT,PRIMARY KEY(row_pair_id,column_pair_id));",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,380,"CREATE TABLE extract03a_r1_shortest_path_D (row_pair_id TEXT,column_pair_id TEXT,value REAL,lineage_bundle_sha256 TEXT,PRIMARY KEY(row_pair_id,column_pair_id));",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,381,"CREATE TABLE extract03a_r1_strength (row_pair_id TEXT,column_pair_id TEXT,value REAL,lineage_bundle_sha256 TEXT,PRIMARY KEY(row_pair_id,column_pair_id));",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,382,"CREATE TABLE extract03a_r1_edge_candidate (pair_a TEXT,pair_b TEXT,strength REAL,edge_candidate_flag INTEGER,lineage_bundle_sha256 TEXT,PRIMARY KEY(pair_a,pair_b));",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,383,"CREATE TABLE extract03a_r1_cluster_candidate (merge_index INTEGER PRIMARY KEY,cluster_candidate_id TEXT,members TEXT,distance REAL,candidate_status TEXT,lineage_bundle_sha256 TEXT);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,384,"CREATE TABLE extract03a_r1_motif_candidate (motif_candidate_id TEXT PRIMARY KEY,source_cluster_candidate_id TEXT,members TEXT,stability_status TEXT,lineage_bundle_sha256 TEXT);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,385,"CREATE TABLE extract03a_r1_validation_result (validation_id TEXT PRIMARY KEY,validation_layer TEXT,check_name TEXT,status TEXT,severity TEXT,message TEXT,lineage_bundle_sha256 TEXT);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,386,"CREATE TABLE extract03a_r1_claim_boundary (statement_id TEXT PRIMARY KEY,classification TEXT,statement TEXT,lineage_bundle_sha256 TEXT);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,387,"CREATE TABLE extract03a_r1_lineage (lineage_name TEXT PRIMARY KEY,path TEXT,sha256 TEXT,lineage_bundle_sha256 TEXT);",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,414,"count_rows = [{""table_name"": table, ""row_count"": db.execute(f""SELECT COUNT(*) FROM {table}"").fetchone()[0], ""lineage_bundle_sha256"": lineage_bundle} for table in tables]",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,419,"{""quantity"": ""x_value"", ""unit"": ""model_length_unit"", ""dimension_status"": ""model_coordinate_unit_not_SI_converted"", ""audit_status"": ""pass"", ""claim_boundary"": ""No SI length interpretation."", ""lineage_bundle_sha256"": lineage_bundle},",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,420,"{""quantity"": ""raw_delta_phi/wrapped_delta_phi"", ""unit"": ""rad"", ""dimension_status"": ""dimensionless_angle"", ""audit_status"": ""pass"", ""claim_boundary"": ""Phase-response source channel."", ""lineage_bundle_sha256"": lineage_bundle},",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,421,"{""quantity"": ""K_candidate/strength"", ""unit"": ""dimensionless"", ""dimension_status"": ""candidate relation"", ""audit_status"": ""pass"", ""claim_boundary"": CLAIM, ""lineage_bundle_sha256"": lineage_bundle},",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,422,"{""quantity"": ""d_cost/D_shortest_path"", ""unit"": ""model cost scale"", ""dimension_status"": ""candidate cost"", ""audit_status"": ""pass"", ""claim_boundary"": ""Not measured distance or proven geometry."", ""lineage_bundle_sha256"": lineage_bundle},",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,427,"gate_rows = [{""gate_id"": f""E03A-AG-{i:02d}"", ""gate"": gate, ""status"": ""pass"", ""blocking"": ""yes"", ""evidence"": ""Recorded in run outputs."", ""lineage_bundle_sha256"": lineage_bundle} for i, gate in enumerate(gates,1)]",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,430,"guard_rows = [{""guard_id"": f""E03A-G-{i:02d}"", ""guard"": guard, ""status"": ""pass"", ""evidence"": ""Enforced by isolated execution and frozen values."", ""blocking_if_violated"": ""yes"", ""lineage_bundle_sha256"": lineage_bundle} for i, guard in enumerate(guards,1)]",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,433,"claim_rows = [{""statement_id"": a, ""classification"": b, ""statement"": c, ""allowed_in_result_interpretation"": ""yes"" if b == ""safe"" else ""boundary_only"" if b == ""boundary"" else ""no"", ""lineage_bundle_sha256"": lineage_bundle} for a,b,c in claims]",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,435,"seed_rows = [{""audit_item"": ""split_assignment"", ""seed_or_rule"": f""{SPLIT_PROTOCOL}|{PRIMARY_SEED}|canonical_pair_id"", ""execution_status"": ""executed"", ""result"": json.dumps(Counter(r[""split_label""] for r in split_rows), sort_keys=True), ""notes"": ""42 deterministi",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,436,"seed_rows += [{""audit_item"": f""bootstrap_seed_{i}"", ""seed_or_rule"": seed, ""execution_status"": ""not_executed_missing_frozen_sampling_rule"", ""result"": ""no stability result"", ""notes"": ""Seed carried forward; no resampling algorithm or threshold fabricated."", ""line",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,437,"seed_rows.append({""audit_item"": ""tie_breaker_seed"", ""seed_or_rule"": TIE_BREAKER_SEED, ""execution_status"": ""available_not_needed"", ""result"": ""no hash collision or ordering ambiguity"", ""notes"": ""Frozen seed unchanged."", ""lineage_bundle_sha256"": lineage_bundle})",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,479,"lineage_rows = [{""audit_scope"": ""upstream"", ""artifact"": name, ""path"": lineage_path_map[name], ""sha256"": value, ""hash_role"": ""required lineage"", ""status"": ""pass"", ""notes"": ""Read-only; pre/post hash unchanged where file-based."", ""lineage_bundle_sha256"": lineage_",resolved
lineage_bundle_sha256,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,484,"lineage_rows.append({""audit_scope"": ""run_output"", ""artifact"": filename, ""path"": rel(path), ""sha256"": sha(path), ""hash_role"": ""output integrity"", ""status"": ""pass"", ""notes"": ""23_lineage_and_hash_audit.csv self-hash excluded."", ""lineage_bundle_sha256"": lineage_bu",resolved
lineage_bundle_sha256,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,44,"""lineage_bundle_sha256"": ""9b242d40f34d864e4c521d873e94b3bea8f07b573386e99d617cd320d483646a"",",resolved
lineage_bundle_sha256,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/23_lineage_and_hash_audit.csv,1,"audit_scope,artifact,path,sha256,hash_role,status,notes,lineage_bundle_sha256",resolved
lineage_bundle_sha256,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/02_upstream_inventory_and_hashes.csv,1,"artifact_id,upstream_block,path,exists,sha256,access_mode,used_for,post_run_sha256,unchanged,lineage_bundle_sha256",resolved
source_config_sha256,,,,,not_found_in_curated_trace
input_file_sha256,,,,,not_found_in_curated_trace
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,29,"F3_MANIFEST = F3_DIR / ""01_f3_run_manifest.json""",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,31,"L2 = ROOT / ""runs/QSB-INTERFACE01L2/separate_final_minimaltest_execution_under_j2/01_l2_run_manifest.json""",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,32,"M2 = ROOT / ""runs/QSB-INTERFACE01M2/result_review_mechanism_interpretation_boundary_after_l2/01_m2_run_manifest.json""",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,33,"N0 = ROOT / ""runs/QSB-INTERFACE01N0/post_fail_scope_review_feature_n4_extract_path/01_n0_run_manifest.json""",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,48,"""01_extract03a_r1_run_manifest.json"", ""02_upstream_inventory_and_hashes.csv"",",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,155,"package_manifest = load_json(PACKAGE / ""01_extract03_package_manifest.json"")",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,156,"s1_manifest = load_json(S1 / ""01_extract03s1_run_manifest.json"")",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,157,"expect(package_manifest, {""status"": ""extract03_execution_package_preparation_completed_no_extraction""},",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,159,"expect(s1_manifest, {""status"": ""extract03s1_split_seed_freeze_addendum_completed_no_execution"",",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,167,"frozen_hash_paths = [PACKAGE / ""01_extract03_package_manifest.json"", PACKAGE / ""12_cluster_dendrogram_protocol_no_run.csv"", AUTH, HF, R1F, F3_MANIFEST, F3_DB, L2, M2, N0]",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,183,"upstream_paths = [AUTH, S1_AUTH, PACKAGE / ""01_extract03_package_manifest.json"", S1 / ""01_extract03s1_run_manifest.json"", HF, R1F, F3_MANIFEST, F3_DB, L2, M2, N0]",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,308,"manifest = {""work_package"": ""QSB-EXTRACT03A-R1"", ""status"": final_status, ""created_at_utc"": now,",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,318,"(OUT / FILES[0]).write_text(json.dumps(manifest, indent=2, ensure_ascii=False) + ""\n"", encoding=""utf-8"")",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,329,"{""contract_item"": ""extract03_package"", ""path"": rel(PACKAGE), ""observed_value"": package_manifest[""status""], ""expected_value"": ""extract03_execution_package_preparation_completed_no_extraction"", ""sha256"": package_hash, ""status"": ""pass"", ""notes"": ""24 artifacts; ag",resolved
manifest,,scripts/qsb_extract03a_r1/run_authorized_execution_with_s1_addendum.py,330,"{""contract_item"": ""extract03_s1_addendum"", ""path"": rel(S1), ""observed_value"": s1_manifest[""status""], ""expected_value"": ""extract03s1_split_seed_freeze_addendum_completed_no_execution"", ""sha256"": s1_hash, ""status"": ""pass"", ""notes"": ""18 artifacts; aggregate deter",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,1,{,resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,2,"""work_package"": ""QSB-EXTRACT03A-R1"",",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,3,"""status"": ""extract03a_r1_authorized_execution_with_s1_completed_inconclusive_with_review_items"",",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,4,"""created_at_utc"": ""2026-06-22T06:59:01.200606+00:00"",",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,5,"""authorization_imported"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,6,"""s1_refresh_imported"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,7,"""package_plus_s1_hash_checked"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,8,"""human_freeze_reviewed"": 10,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,9,"""human_freeze_approved"": 10,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,10,"""human_freeze_missing"": 0,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,11,"""human_freeze_invalid"": 0,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,12,"""source_rows"": 168042,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,13,"""ordered_pairs"": 42,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,14,"""x_points"": 4001,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,15,"""split_protocol_id"": ""extract03_hash_split_v1"",",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,16,"""split_counts"": {",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,17,"""review"": 19,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,18,"""validation"": 11,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,19,"""holdout"": 5,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,20,"""calibration"": 7",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,21,"},",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,22,"""K_computed"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,23,"""d_computed"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,24,"""D_computed"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,25,"""edges_computed"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,26,"""clusters_computed"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,27,"""motif_candidate_ids_computed"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,28,"""bootstrap_stability_executed"": false,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,29,"""result_mart_written"": true,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,30,"""upstream_modified"": false,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,31,"""l2_fail_changed"": false,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,32,"""post_hoc_tuning_performed"": false,",resolved
manifest,,runs/QSB-EXTRACT03A-R1/authorized_execution_with_s1_addendum/01_extract03a_r1_run_manifest.json,33,"""physical_evidence_claim_made"": false,",resolved
