table_schema,table_name,table_type
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_not_pa,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_recomm,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_repair,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_result,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_summar,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_result_review_valida,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_results,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_summary,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_admissibility_validation,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_alias_rules,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_category_summary,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_claim_boundaries,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_classification_schema,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_decision_logic,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_deep_research_handoff,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_design_summary,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_deterministic_alias_check,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_directionality_audit,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_independence_criteria,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_information_gain_feasibility,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_input_scout_lineage,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_next_gate,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_pair_mapping_audit,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_pair_mapping_requirements,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_phase_response_rule,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_red_team_summary,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_rejected_summary,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_repair_required_summary,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_scramble_feasibility,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_source_lineage_audit,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_source_lineage_requirements,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_test_design,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_unit_dimension_audit,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_unit_dimension_requirements,BASE TABLE
qsb_planck_bridge,pbr_independent_lag_variable_validation,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_alias_risk,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_candidate_variables,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_claim_boundaries,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_deep_research_handoff,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_dwh_inventory,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_gap_update,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_lineage_assessment,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_next_gate,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_pair_mapping_readiness,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_physical_proxy_sources,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_repo_inventory,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_scout_summary,BASE TABLE
qsb_planck_bridge,pbr_input_artifact_enrichment_validation,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_claim_boundaries,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_decision,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_decision_cases,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_design_summary,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_blocked_test,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_claim_boundaries,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_decision,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_input_gaps,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_lineage,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_next_gate,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_recommended_work,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_summary,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_test,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_result_review_validation,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_execution_summary,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_failure_modes,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_independent_lag_variable,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_index_relabeling,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_lineage,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_next_gate_decision,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_nullmodel_operationalization,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_order_scrambling,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_physical_proxy,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_required_inputs,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_required_metrics,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_shift_operator,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_test_family_spec,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_test_results,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_toeplitz_dependency,BASE TABLE
qsb_planck_bridge,pbr_lag_mechanism_validation_results,BASE TABLE
qsb_planck_bridge,pbr_minimal_object_definition,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_claim_boundaries,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_comparison_metrics,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_design_summary,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_diagnostics_required,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_authorization,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_claim_boundaries,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_lineage,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_result_review_claim_boundaries,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_result_review_critical_findings,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_result_review_family,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_result_review_lineage,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_result_review_next_gate,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_result_review_specificity,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_result_review_summary,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_result_review_validation,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_summary,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_execution_validation_results,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_failure_modes,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_family_spec,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_family_summary,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_gate_decision,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_input_artifact_requirements,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_lag_class_metrics,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_sample_results,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_specificity_classification,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_spectral_core_metrics,BASE TABLE
qsb_planck_bridge,pbr_nullmodel_validation_results,BASE TABLE
qsb_planck_bridge,pbr_psd_gate_spec,BASE TABLE
qsb_planck_bridge,pbr_psd_test_claim_boundary,BASE TABLE
qsb_planck_bridge,pbr_psd_test_eigenvalue_report,BASE TABLE
qsb_planck_bridge,pbr_psd_test_gate_result,BASE TABLE
qsb_planck_bridge,pbr_psd_test_input_lineage,BASE TABLE
qsb_planck_bridge,pbr_psd_test_run,BASE TABLE
qsb_planck_bridge,pbr_redteam_action_item,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_claim_boundary,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_effective_lag_axis_gram,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_eigenvalue_mass,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_input_lineage,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_lag_class_membership,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_lag_class_summary,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_parallel_counts,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_relation_pair,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_result,BASE TABLE
qsb_planck_bridge,pbr_spectral_readout_run,BASE TABLE
qsb_planck_bridge,pbr_state_spec_run,BASE TABLE
qsb_scale_mapping,claim_boundary,BASE TABLE
qsb_scale_mapping,dimensional_check,BASE TABLE
qsb_scale_mapping,mapping_definition,BASE TABLE
qsb_scale_mapping,scale_mapping_run,BASE TABLE
qsb_scale_mapping,scale_mapping_validation_result,BASE TABLE
qsb_scale_mapping,special_case,BASE TABLE
qsb_scale_mapping,variable_registry,BASE TABLE
raw,git_commit_reference,BASE TABLE
raw,raw_checksum,BASE TABLE
raw,raw_claim_boundary,BASE TABLE
raw,run_folder,BASE TABLE
raw,source_artifact,BASE TABLE
raw,source_file,BASE TABLE
server,metadata_server_config,BASE TABLE
server,metadata_server_endpoint,BASE TABLE
staging,artifact_column_profile,BASE TABLE
staging,causality_summary,BASE TABLE
staging,csv_row_json,BASE TABLE
staging,interface01_summary,BASE TABLE
staging,json_document,BASE TABLE
staging,json_key_value,BASE TABLE
staging,markdown_document,BASE TABLE
staging,matrix_topology_edge_candidate,BASE TABLE
staging,matrix_topology_summary,BASE TABLE
staging,relalg_summary,BASE TABLE
staging,sparc_artifact_registry,BASE TABLE
staging,sparc_massmodels_baseline,BASE TABLE
staging,sparc_rar_direct,BASE TABLE
staging,sparc_source_file_registry,BASE TABLE
staging,sqlite_row_count,BASE TABLE
staging,sqlite_table_inventory,BASE TABLE
validation,claim_boundary,BASE TABLE
validation,data_quality_flag,BASE TABLE
validation,ingest_warning,BASE TABLE
validation,no_go_boundary,BASE TABLE
validation,validation_result,BASE TABLE
