old_run_id,proposed_canonical_run_id,rerun_priority,rerun_purpose,required_inputs,required_controls,primary_endpoint,expected_output_files,provenance_status,missing_items,claim_safe_interpretation,note
n1_negative_vs_abs_markers_v1,qsb_st_ms_can_11_negative_vs_abs_markers,medium,Replay marker-level negative-vs-abs tests to determine whether marker readouts agree with model-level tests.,negative/abs marker metrics; per-dataset marker table,marker-label swap; dataset stratification; fixed marker endpoints,negative_vs_abs_marker_separation_status,summary.json; readout.md; negative_vs_abs_marker_metrics.csv; marker_status.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Secondary to the main negative-vs-abs rerun.
n1_exportclass_nullmodel_v1,qsb_st_ms_can_12_exportclass_nullmodel,medium,Replay export-class null model to verify that supported status survives canonical provenance handling.,export-class tables; null model definitions; run metadata,export-class nulls; class-label controls; fixed ordering endpoint,exportclass_nullmodel_gap_status,summary.json; readout.md; exportclass_nullmodel_runs.csv; exportclass_ordering_table.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Useful as a null-model sanity check for N1-related claims.
n1_a1_b1_decoupling_v1,qsb_st_ms_can_13_n1_a1_b1_decoupling,medium,Replay A1/B1 decoupling to preserve the old finding that combined N1 pattern appears primarily B1-driven.,A1/B1 decoupling tables; per-class metrics; summary files,class-level controls; fixed launchable classes; baseline comparisons,B1_driven_pattern_status,summary.json; readout.md; a1_b1_decoupling_comparison.csv; per_class_status.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Useful for mechanism decomposition but not a first minimal rerun priority.
n1_alt_neighborhood_v1,qsb_st_ms_can_14_alt_neighborhood_v1,low,Replay alternative-neighborhood sensitivity only if N1 reruns require neighborhood diagnostics.,alternative neighborhood tables; neighbor/shell stats,baseline neighborhood; alternative neighborhood; fixed shell stats,alt_neighborhood_status,summary.json; readout.md; alternative_status_table.csv; neighbor_stats.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Defer unless neighborhood choice becomes central.
n1_alt_neighborhood_v2,qsb_st_ms_can_15_alt_neighborhood_v2,low,Replay alternative-neighborhood v2 only after v1 is needed.,alternative neighborhood v2 tables; neighbor/shell stats,baseline neighborhood; alternative neighborhood; fixed shell stats,alt_neighborhood_v2_status,summary.json; readout.md; alternative_status_table.csv; neighbor_stats.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Deferred sensitivity detail.
n1_alt_neighborhood_v22,qsb_st_ms_can_16_alt_neighborhood_v22,low,Replay alternative-neighborhood v22 only if neighborhood sensitivity becomes central.,alternative neighborhood v22 tables; neighbor/shell stats; associated flat summaries,baseline neighborhood; alternative neighborhood; fixed shell stats,alt_neighborhood_v22_status,summary.json; readout.md; alternative_status_table.csv; neighbor_stats.csv,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed","Deferred sensitivity detail, but inventory shows extra flat summaries."
bridge_carrier_block_c_v1,qsb_st_ms_can_17_carrier_block_c,medium,Replay carrier block C only after minimal model and negative/abs questions are clarified.,carrier block C feature table; variant definitions,single-feature variants; triple-without variants; fixed endpoint,carrier_block_c_variant_gap_status,summary.json; readout.md; bridge_carrier_block_c.csv; variant_reports/,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Carrier blocks are useful for decomposition but should not precede core marker-vs-carrier clarification.
bridge_carrier_block_d_v1,qsb_st_ms_can_18_carrier_block_d,low,Replay carrier block D after block C if decomposition remains relevant.,carrier block D feature table; variant definitions,variant reports; fixed endpoint,carrier_block_d_variant_gap_status,summary.json; readout.md; bridge_carrier_block_d.csv; variant_reports/,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Deferred carrier decomposition detail.
bridge_carrier_block_e_v1,qsb_st_ms_can_19_carrier_block_e,low,Replay carrier block E after block C/D only if proxy decomposition is needed.,carrier block E proxy feature table; variant definitions,proxy-rigidity variants; fixed endpoint,carrier_block_e_proxy_gap_status,summary.json; readout.md; bridge_carrier_block_e.csv; variant_reports/,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Deferred proxy decomposition detail.
bridge_carrier_leave_one_out_v1,qsb_st_ms_can_20_carrier_leave_one_out,medium,Replay leave-one-out only after canonical minimal carrier candidates are selected.,carrier leave-one-out table; full and minus-feature variants,minus-distance; minus-grid; minus-rigidity; minus-spacing; fixed endpoint,leave_one_out_feature_dependency_status,summary.json; readout.md; bridge_carrier_leave_one_out.csv; variant_reports/,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Useful after candidate carrier decomposition is sharpened.
bridge_carrier_minimal_set_block_b_v1,qsb_st_ms_can_21_carrier_minimal_set_block_b,medium,Replay minimal-set block B after baseline and negative/abs reruns.,minimal set block B feature table; pair variants,pair variants; full reference; fixed endpoint,minimal_set_feature_dependency_status,summary.json; readout.md; bridge_carrier_minimal_set_block_b.csv; variant_reports/,partial_replay_candidate,random_seed;committed_state,"canonical rerun candidate only; results remain exploratory until rerun, controls, and claim-boundary checks are completed",Useful to define minimal marker set only after baseline replay is confirmed.
