original_system_id,control_id,control_family_id,original_combined_score,control_combined_score,original_control_delta,separation_pass_flag,mimic_risk_flag,likely_signal_source,control_warning_carried_from_DATA02C,interpretation_boundary
adamantane,hybridization_label_shuffle_control__adamantane,hybridization_label_shuffle_control,1.0,0.68,0.32,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
benzene,hybridization_label_shuffle_control__benzene,hybridization_label_shuffle_control,1.0,0.946667,0.053333,False,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",below_threshold_low_contrast_boundary
c60,hybridization_label_shuffle_control__c60,hybridization_label_shuffle_control,1.0,0.941333,0.058667,False,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",below_threshold_low_contrast_boundary
ethyne,hybridization_label_shuffle_control__ethyne,hybridization_label_shuffle_control,1.0,0.68,0.32,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
adamantane,sigma_pi_label_shuffle_control__adamantane,sigma_pi_label_shuffle_control,1.0,0.6965,0.3035,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
benzene,sigma_pi_label_shuffle_control__benzene,sigma_pi_label_shuffle_control,1.0,0.68,0.32,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
c60,sigma_pi_label_shuffle_control__c60,sigma_pi_label_shuffle_control,1.0,0.905417,0.094583,False,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",below_threshold_low_contrast_boundary
ethyne,sigma_pi_label_shuffle_control__ethyne,sigma_pi_label_shuffle_control,1.0,0.68,0.32,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
adamantane,topology_matched_random_control__adamantane,topology_matched_random_control,1.0,0.797,0.203,True,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",passes_configured_scaffold_separation_threshold
benzene,topology_matched_random_control__benzene,topology_matched_random_control,1.0,0.797,0.203,True,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",passes_configured_scaffold_separation_threshold
c60,topology_matched_random_control__c60,topology_matched_random_control,1.0,0.797,0.203,True,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",passes_configured_scaffold_separation_threshold
ethyne,topology_matched_random_control__ethyne,topology_matched_random_control,1.0,0.797,0.203,True,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",passes_configured_scaffold_separation_threshold
adamantane,topology_preserving_label_randomization__adamantane,topology_preserving_label_randomization,1.0,0.512,0.488,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
benzene,topology_preserving_label_randomization__benzene,topology_preserving_label_randomization,1.0,0.62,0.38,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
c60,topology_preserving_label_randomization__c60,topology_preserving_label_randomization,1.0,0.76225,0.23775,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
ethyne,topology_preserving_label_randomization__ethyne,topology_preserving_label_randomization,1.0,0.5,0.5,True,False,combined scaffold signal,,passes_configured_scaffold_separation_threshold
adamantane,within_system_label_shuffle__adamantane,within_system_label_shuffle,1.0,1.0,0.0,False,True,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; explicit_high_risk_or_low_contrast_case_from_DATA02C; DATA02C_negative_finding_flag; DATA02C_lowest_original_control_coherence_contrast",zero_or_low_delta_control_mimicry_boundary
benzene,within_system_label_shuffle__benzene,within_system_label_shuffle,1.0,1.0,0.0,False,True,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",zero_or_low_delta_control_mimicry_boundary
c60,within_system_label_shuffle__c60,within_system_label_shuffle,1.0,0.916,0.084,False,False,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; DATA02C_negative_finding_flag",below_threshold_low_contrast_boundary
ethyne,within_system_label_shuffle__ethyne,within_system_label_shuffle,1.0,1.0,0.0,False,True,combined scaffold signal,"some controls show zero/low original-control contrast, especially within-system label shuffles for small/uniform systems; explicit_high_risk_or_low_contrast_case_from_DATA02C; DATA02C_negative_finding_flag; DATA02C_highest_risk_mimic_control",zero_or_low_delta_control_mimicry_boundary
